"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.196350624799384 5 11 "GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 0.884492637951124
0 0.266333433003276 6 115 "GO:0000731;GO:0006301;GO:0019985" "postreplication repair" 0.997804766471965
0 0.289539328601142 6 16 "GO:0000733" "DNA strand renaturation" 0.997804766471965
0 0.391105625335171 5 53 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.80053979274292 4 8 "GO:0000741;GO:0007344" "karyogamy" 1
0 0.600947455751078 3 252 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.725543402522429 3 12 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 1
0 0.791517181814492 4 3057 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 0.849090718895328 2 71 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 1
0 0.782030046316484 5 48 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 0.555531360850368 2 41 "GO:0000920" "septum digestion after cytokinesis" 1
0 0.792894205835968 2 461 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 1
0 0.077946134949812 5 6 "GO:0000957;GO:0000958;GO:0000960" "mitochondrial RNA catabolic process" 0.568202578979383
0 0.00150530344273587 2 66 "GO:0000959" "mitochondrial RNA metabolic process" 0.0611581934318613
0 0.000680775598503563 7 30 "GO:0000963" "mitochondrial RNA processing" 0.0351287857991867
0 0.551899353059864 2 8 "GO:0000964;GO:0097745" "mitochondrial RNA 5'-end processing" 1
0 0.00536212148365095 2 13 "GO:0000965" "mitochondrial RNA 3'-end processing" 0.137958223605978
0 0.274838978757543 2 30 "GO:0000966;GO:0099116;GO:0034471" "RNA 5'-end processing" 0.997804766471965
0 0.290289273836528 4 14 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.997804766471965
0 0.583411138568753 2 6 "GO:0000973" "posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 0.975142382029313 3 992 "GO:0001101" "response to acid chemical" 1
0 0.284553619296251 4 8 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "promoter clearance from RNA polymerase II promoter" 0.997804766471965
0 0.594486351394995 2 24 "GO:0001178" "regulation of transcriptional start site selection at RNA polymerase II promoter" 1
0 0.290289273836528 6 14 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 0.997804766471965
0 0.169587292396335 -1 7 "GO:0001302" "obsolete replicative cell aging" 0.809993235351995
0 0.508221250584851 2 12 "GO:0001306;GO:0007571" "age-dependent response to oxidative stress" 1
0 0.00151147631018318 5 15 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 0.0611581934318613
0 0.9927235744656 4 1213 "GO:0001501" "skeletal system development" 1
0 0.99993911531762 3 72 "GO:0001502;GO:0098743" "cell aggregation" 1
0 0.995687719993017 2 452 "GO:0001503" "ossification" 1
0 0.999776009776012 2 42 "GO:0001504" "neurotransmitter uptake" 1
0 0.998765691972801 3 1104 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.583411138568753 3 6 "GO:0001507;GO:0006581" "acetylcholine catabolic process in synaptic cleft" 1
0 0.999999999847873 4 350 "GO:0001508" "action potential" 1
0 0.00034818784905858 6 88 "GO:0001510" "RNA methylation" 0.0213207026240204
0 0.185657273761685 6 9 "GO:0001514" "selenocysteine incorporation" 0.853484514264803
0 0.957824854732309 4 41 "GO:0001516;GO:0046457" "prostanoid biosynthetic process" 1
0 0.423846141525172 2 26 "GO:0001522" "pseudouridine synthesis" 1
0 0.926870549454952 2 608 "GO:0001525" "angiogenesis" 1
0 0.955089785495073 2 165 "GO:0001541" "ovarian follicle development" 1
0 0.891164070734745 2 25 "GO:0001542" "ovulation from ovarian follicle" 1
0 0.284553619296251 2 8 "GO:0001545" "primary ovarian follicle growth" 0.997804766471965
0 0.985653874261152 2 20 "GO:0001547" "antral ovarian follicle growth" 1
0 0.80053979274292 4 8 "GO:0001550;GO:0048165" "fused antrum stage" 1
0 0.762012867508038 2 5 "GO:0001552" "ovarian follicle atresia" 1
0 0.793414844420965 2 46 "GO:0001553" "luteinization" 1
0 0.892232472242014 3 20 "GO:0001554" "luteolysis" 1
0 0.876050034473953 2 27 "GO:0001555" "oocyte growth" 1
0 0.68747475528718 3 86 "GO:0001556" "oocyte maturation" 1
0 0.94397511520261 4 1411 "GO:0001558" "regulation of cell growth" 1
0 0.288544447282899 2 10 "GO:0001560" "regulation of cell growth by extracellular stimulus" 0.997804766471965
0 0.0773624197622381 2 22 "GO:0001561" "fatty acid alpha-oxidation" 0.568202578979383
0 0.455784149519689 2 35 "GO:0001562;GO:0042832" "response to protozoan" 1
0 0.975004905653394 2 1177 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 0.979431990900136 2 96 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.999340493377186 3 223 "GO:0001570" "vasculogenesis" 1
0 0.991550058432643 2 30 "GO:0001573" "ganglioside metabolic process" 1
0 0.998181195683908 3 18 "GO:0001574" "ganglioside biosynthetic process" 1
0 3.66348511731777e-05 3 240 "GO:0001578" "microtubule bundle formation" 0.0044865481070085
0 0.100607496256386 2 8 "GO:0001579" "medium-chain fatty acid transport" 0.654447488041718
0 0.905508410644694 3 28 "GO:0001580;GO:0050912" "detection of chemical stimulus involved in sensory perception of taste" 1
0 0.998280143332843 3 201 "GO:0001649" "osteoblast differentiation" 1
0 0.903062803730628 3 2124 "GO:0001654" "eye development" 1
0 0.985359452722124 2 1051 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.991412827921983 5 230 "GO:0001656" "metanephros development" 1
0 0.952890837720136 5 250 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephros development" 1
0 0.932871415383634 2 111 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.948887074365569 2 77 "GO:0001659" "temperature homeostasis" 1
0 0.666879594536188 4 9 "GO:0001660" "fever generation" 1
0 0.918509062265866 2 26 "GO:0001661" "conditioned taste aversion" 1
0 0.997281829635655 2 130 "GO:0001662;GO:0002209;GO:0042596" "fear response" 1
0 0.996853532177878 2 1091 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.408173436073884 4 1139 "GO:0001667" "ameboidal-type cell migration" 1
0 0.328167776610372 2 98 "GO:0001672" "regulation of chromatin assembly or disassembly" 1
0 0.00735846221214192 4 30 "GO:0001675" "acrosome assembly" 0.167355878122121
0 0.190809417253309 4 183 "GO:0001676" "long-chain fatty acid metabolic process" 0.871499004212652
0 0.376341349161326 2 17 "GO:0001682" "tRNA 5'-leader removal" 1
0 1 3 7 "GO:0001692" "histamine metabolic process" 1
0 0.998181195683908 5 18 "GO:0001696" "gastric acid secretion" 1
0 1.04553669227264e-05 2 619 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.00165573353767659
0 0.0726165004539769 2 904 "GO:0001701" "in utero embryonic development" 0.558267257920041
0 0.694397944542002 5 104 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.121863641343127 5 105 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 0.731561272032286
0 0.630152447962537 2 428 "GO:0001704" "formation of primary germ layer" 1
0 0.804913659752179 4 18 "GO:0001705" "ectoderm formation" 1
0 0.553909762338471 2 163 "GO:0001706;GO:0035987" "endoderm formation" 1
0 0.965728807194857 3 294 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 1
0 0.999822403204958 2 621 "GO:0001708" "cell fate specification" 1
0 0.143431201954741 2 518 "GO:0001709" "cell fate determination" 0.767707526807454
0 0.963502904073882 2 64 "GO:0001710;GO:0007501" "mesodermal cell fate commitment" 1
0 0.108084701102978 2 54 "GO:0001711;GO:0001714" "endodermal cell fate commitment" 0.688459070479094
0 0.117065824747543 2 10 "GO:0001712" "ectodermal cell fate commitment" 0.710204491615708
0 0.077946134949812 4 6 "GO:0001715" "ectodermal cell fate specification" 0.568202578979383
0 0.21788352702316 4 25 "GO:0001731" "formation of translation preinitiation complex" 0.909633977221685
0 0.00595737068074946 2 450 "GO:0001736;GO:0007164;GO:0001738" "morphogenesis of a polarized epithelium" 0.144757803446253
0 0.0100922931973462 4 86 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.195153080037105
0 0.108773374690511 3 58 "GO:0001742" "oenocyte differentiation" 0.688546182407666
0 0.897919436067864 3 15 "GO:0001743" "optic placode formation" 1
0 0.908919373624042 3 7 "GO:0001744" "optic lobe placode formation" 1
0 0.404127791118547 2 1102 "GO:0001745;GO:0048749" "compound eye development" 1
0 0.795067238173113 6 25 "GO:0001746;GO:0055034" "Bolwig's organ development" 1
0 1 2 6 "GO:0001748" "optic lobe placode development" 1
0 0.541873531086203 2 475 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.273804557510038 2 170 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 0.997804766471965
0 0.961504137057329 5 145 "GO:0001755" "neural crest cell migration" 1
0 0.939017348425761 2 291 "GO:0001756;GO:0061053" "somite development" 1
0 0.376341349161326 2 17 "GO:0001757" "somite specification" 1
0 0.991238530206191 3 49 "GO:0001759" "organ induction" 1
0 0.990159168745359 2 639 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 1
0 0.993142509371914 4 501 "GO:0001764" "neuron migration" 1
0 0.791712542678548 2 39 "GO:0001765" "membrane raft assembly" 1
0 0.979395238997165 2 22 "GO:0001766;GO:0031580;GO:0051665" "membrane raft localization" 1
0 0.798559531314928 3 13 "GO:0001767" "establishment of lymphocyte polarity" 1
0 0.867369891846285 5 9 "GO:0001768" "establishment of T cell polarity" 1
0 0.917706764950909 3 31 "GO:0001771" "immunological synapse formation" 1
0 0.618193610493193 2 51 "GO:0001773;GO:0043011" "myeloid dendritic cell activation" 1
0 0.21788352702316 2 25 "GO:0001774" "microglial cell activation" 0.909633977221685
0 0.0372523033597192 2 1952 "GO:0001775;GO:0045321" "cell activation" 0.400689927373044
0 6.12906190841453e-06 2 151 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.0011488864005875
0 0.782468218105073 6 20 "GO:0001778" "plasma membrane repair" 1
0 0.346411239317588 4 27 "GO:0001779" "natural killer cell differentiation" 1
0 0.111082153820085 2 21 "GO:0001780" "neutrophil homeostasis" 0.692191033132619
0 7.48155805187186e-05 2 57 "GO:0001782" "B cell homeostasis" 0.00715813653192115
0 0.0518796639417523 7 14 "GO:0001783" "B cell apoptotic process" 0.475563586132729
0 0.959068744545113 2 297 "GO:0001816" "cytokine production" 1
0 0.0589433703538765 4 1156 "GO:0001817" "regulation of cytokine production" 0.505077130262902
0 0.0572300271476677 2 483 "GO:0001818" "negative regulation of cytokine production" 0.503291273511145
0 0.0280654117983716 2 704 "GO:0001819" "positive regulation of cytokine production" 0.341431532937805
0 0.16259582691918 2 24 "GO:0001820;GO:0006837" "serotonin transport" 0.809993235351995
0 0.983810398313598 2 742 "GO:0001822" "kidney development" 1
0 0.493177554622815 3 189 "GO:0001824" "blastocyst development" 1
0 0.424891473362009 2 90 "GO:0001825" "blastocyst formation" 1
0 0.769923143055383 3 15 "GO:0001826" "inner cell mass cell differentiation" 1
0 0.85131373197768 4 6 "GO:0001827" "inner cell mass cell fate commitment" 1
0 0.85131373197768 2 6 "GO:0001828" "inner cell mass cellular morphogenesis" 1
0 0.32379934241286 3 60 "GO:0001829" "trophectodermal cell differentiation" 1
0 0.583411138568753 2 6 "GO:0001830" "trophectodermal cell fate commitment" 1
0 0.867369891846285 4 9 "GO:0001831" "trophectodermal cellular morphogenesis" 1
0 0.6760261635935 2 50 "GO:0001832" "blastocyst growth" 1
0 0.917706764950909 2 31 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.945045900584417 2 8 "GO:0001834" "trophectodermal cell proliferation" 1
0 0.0215170638761418 4 8 "GO:0001835" "blastocyst hatching" 0.288938935237372
0 0.868098475857781 2 46 "GO:0001836" "release of cytochrome c from mitochondria" 1
0 0.999843646792998 2 235 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.506385705928118 2 421 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 0.990478403743453 2 38 "GO:0001839;GO:0001840" "neural plate development" 1
0 0.0330627260638726 6 302 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 0.373072652207211
0 0.929192351749204 2 16 "GO:0001842" "neural fold formation" 1
0 0.945045900584417 6 8 "GO:0001844" "protein insertion into mitochondrial membrane involved in apoptotic signaling pathway" 1
0 0.754296347594792 3 45 "GO:0001845" "phagolysosome assembly" 1
0 0.762012867508038 8 5 "GO:0001865" "NK T cell differentiation" 1
0 0.945045900584417 2 8 "GO:0001867" "complement activation, lectin pathway" 1
0 0.98065922684864 4 10 "GO:0001868;GO:0001869" "regulation of complement activation, lectin pathway" 1
0 0.902054700320408 2 45 "GO:0001878" "response to yeast" 1
0 0.80053979274292 3 8 "GO:0001879;GO:0016046;GO:0097323" "detection of fungus" 1
0 0.85131373197768 3 6 "GO:0001880" "Mullerian duct regression" 1
0 0.038921096053437 5 26 "GO:0001881" "receptor recycling" 0.40809391238678
0 0.722811571368157 5 145 "GO:0001885" "endothelial cell development" 1
0 0.982326015308606 2 28 "GO:0001886" "endothelial cell morphogenesis" 1
0 0.908919373624042 2 7 "GO:0001887" "selenium compound metabolic process" 1
0 0.900307053064123 2 443 "GO:0001889;GO:0061008" "hepaticobiliary system development" 1
0 0.662012550216966 3 384 "GO:0001890" "placenta development" 1
0 0.512061839649619 2 233 "GO:0001892" "embryonic placenta development" 1
0 0.629296531455177 3 91 "GO:0001893" "maternal placenta development" 1
0 0.829684286413611 5 588 "GO:0001894" "tissue homeostasis" 1
0 0.310642324926291 2 163 "GO:0001895;GO:0045494" "retina homeostasis" 1
0 0.991558957102384 2 110 "GO:0001906" "cell killing" 1
0 0.944592921448514 2 11 "GO:0001907" "killing by symbiont of host cells" 1
0 0.525716789481516 3 47 "GO:0001909" "leukocyte mediated cytotoxicity" 1
0 0.985081601881339 2 165 "GO:0001910;GO:0031341" "regulation of cell killing" 1
0 0.55229086987037 2 30 "GO:0001911;GO:0031342;GO:0002716;GO:0045953" "negative regulation of cell killing" 1
0 0.99248303185006 6 113 "GO:0001912;GO:0031343" "positive regulation of cell killing" 1
0 0.549794172876913 3 19 "GO:0001913" "T cell mediated cytotoxicity" 1
0 0.463491688820693 2 48 "GO:0001914;GO:0001916" "regulation of T cell mediated cytotoxicity" 1
0 0.997197770675926 4 58 "GO:0001919" "regulation of receptor recycling" 1
0 0.988648678775542 5 32 "GO:0001921" "positive regulation of receptor recycling" 1
0 0.0328040858278185 3 10 "GO:0001922" "B-1 B cell homeostasis" 0.37060950593913
0 0.408174051214459 2 9 "GO:0001923;GO:0002337" "B-1 B cell differentiation" 1
0 0.527803655146019 3 10 "GO:0001928;GO:0106020" "regulation of vesicle docking" 1
0 0.212386969971813 2 2965 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.909633977221685
0 0.427680356804243 2 58 "GO:0001935" "endothelial cell proliferation" 1
0 0.994051261811282 6 303 "GO:0001936" "regulation of endothelial cell proliferation" 1
0 0.99734610877034 4 105 "GO:0001937" "negative regulation of endothelial cell proliferation" 1
