delta.rank,pval,level,nseqs,term,name,p.adj,,term,,,,,,,,,
0,2.68E-05,2,116,GO:0045652,regulation of megakaryocyte differentiation,0.002795985,,GO:0045652,,,,,,,,,
0,2.90E-05,2,235,GO:0001837,epithelial to mesenchymal transition,0.002993233,,GO:0001837,,,,,,,,,
0,3.04E-05,6,305,GO:0006342;GO:0045814;GO:0097549;GO:0034401,chromatin organization involved in regulation of transcription,0.003093372,,GO:0006342,GO:0045814,GO:0097549,GO:0034401,,,,,,
0,3.06E-05,2,2995,GO:0010975;GO:0120035;GO:0031344;GO:0045664,regulation of neuron differentiation,0.003093372,,GO:0010975,GO:0120035,GO:0031344,GO:0045664,,,,,,
0,3.13E-05,3,1543,GO:0035107;GO:0048736,appendage development,0.003120115,,GO:0035107,GO:0048736,,,,,,,,
0,3.19E-05,4,205,GO:0046716,muscle cell cellular homeostasis,0.00315341,,GO:0046716,,,,,,,,,
0,3.25E-05,6,384,GO:0043543,protein acylation,0.00317271,,GO:0043543,,,,,,,,,
0,3.32E-05,4,45,GO:0006760,folic acid-containing compound metabolic process,0.003211685,,GO:0006760,,,,,,,,,
0,3.84E-05,2,1177,GO:0001568;GO:0001944;GO:0048514,vasculature development,0.003670798,,GO:0001568,GO:0001944,GO:0048514,,,,,,,
0,3.93E-05,2,141,GO:0048557,embryonic digestive tract morphogenesis,0.003722514,,GO:0048557,,,,,,,,,
0,4.06E-05,3,295,GO:0031058;GO:1905269,positive regulation of chromatin organization,0.003805829,,GO:0031058,GO:1905269,,,,,,,,
0,4.22E-05,3,113,GO:0006929,substrate-dependent cell migration,0.003837897,,GO:0006929,,,,,,,,,
0,4.14E-05,6,859,GO:0030336;GO:2000146;GO:0040013;GO:0051271,negative regulation of locomotion,0.003837897,,GO:0030336,GO:2000146,GO:0040013,GO:0051271,,,,,,
0,4.22E-05,3,113,GO:1901607,alpha-amino acid biosynthetic process,0.003837897,,GO:1901607,,,,,,,,,
0,4.39E-05,3,1596,GO:0030155,regulation of cell adhesion,0.003920721,,GO:0030155,,,,,,,,,
0,4.40E-05,3,2665,GO:0040008,regulation of growth,0.003920721,,GO:0040008,,,,,,,,,
0,4.44E-05,2,1830,GO:0048638,regulation of developmental growth,0.003920721,,GO:0048638,,,,,,,,,
0,4.62E-05,2,37,GO:0006337;GO:0032986;GO:0031498,protein-DNA complex disassembly,0.003992509,,GO:0006337,GO:0032986,GO:0031498,,,,,,,
0,4.65E-05,5,17,GO:0010216,maintenance of DNA methylation,0.003992509,,GO:0010216,,,,,,,,,
0,4.58E-05,3,455,GO:0048762,mesenchymal cell differentiation,0.003992509,,GO:0048762,,,,,,,,,
0,4.74E-05,2,469,GO:0016458,gene silencing,0.004032422,,GO:0016458,,,,,,,,,
0,4.82E-05,4,833,GO:0090287,regulation of cellular response to growth factor stimulus,0.004059529,,GO:0090287,,,,,,,,,
0,4.92E-05,3,1977,GO:0061061,muscle structure development,0.004111641,,GO:0061061,,,,,,,,,
0,5.49E-05,4,42,GO:0006555,methionine metabolic process,0.004498432,,GO:0006555,,,,,,,,,
0,5.49E-05,3,42,GO:0009067,aspartate family amino acid biosynthetic process,0.004498432,,GO:0009067,,,,,,,,,
0,5.75E-05,5,29,GO:0035278;GO:0040033;GO:0045974,miRNA mediated inhibition of translation,0.004671105,,GO:0035278,GO:0040033,GO:0045974,,,,,,,
0,5.95E-05,2,25,GO:1902083;GO:2000169,regulation of peptidyl-cysteine S-nitrosylation,0.004790022,,GO:1902083,GO:2000169,,,,,,,,
0,6.12E-05,2,47,GO:2000772,regulation of cellular senescence,0.004887738,,GO:2000772,,,,,,,,,
0,6.43E-05,3,174,GO:0031060,regulation of histone methylation,0.005051171,,GO:0031060,,,,,,,,,
0,6.39E-05,6,156,GO:1905268,negative regulation of chromatin organization,0.005051171,,GO:1905268,,,,,,,,,
0,6.79E-05,2,1539,GO:0055114,oxidation-reduction process,0.005281928,,GO:0055114,,,,,,,,,
0,7.09E-05,2,2680,GO:0051336,regulation of hydrolase activity,0.005472408,,GO:0051336,,,,,,,,,
0,7.18E-05,3,2102,GO:0007409;GO:0061564,axon development,0.005495886,,GO:0007409,GO:0061564,,,,,,,,
0,7.33E-05,4,1139,GO:0001667,ameboidal-type cell migration,0.005518401,,GO:0001667,,,,,,,,,
0,7.30E-05,2,218,GO:0003151,outflow tract morphogenesis,0.005518401,,GO:0003151,,,,,,,,,
0,7.50E-05,4,43,GO:0060872,semicircular canal development,0.005602586,,GO:0060872,,,,,,,,,
0,7.77E-05,4,3057,GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667,cell morphogenesis involved in differentiation,0.005755693,,GO:0000904,GO:0048812,GO:0120039,GO:0048858,GO:0032990,GO:0048667,,,,
0,7.90E-05,2,1830,GO:0030029;GO:0030036,actin filament-based process,0.005771339,,GO:0030029,GO:0030036,,,,,,,,
0,7.92E-05,2,1603,GO:0080135,regulation of cellular response to stress,0.005771339,,GO:0080135,,,,,,,,,
0,8.99E-05,4,1366,GO:1902903;GO:0032956;GO:0032970,regulation of actin filament-based process,0.006503281,,GO:1902903,GO:0032956,GO:0032970,,,,,,,
0,9.15E-05,3,258,GO:0043502,regulation of muscle adaptation,0.006562779,,GO:0043502,,,,,,,,,
0,9.74E-05,2,2535,GO:0009791,post-embryonic development,0.006777435,,GO:0009791,,,,,,,,,
0,9.67E-05,3,165,GO:0043542,endothelial cell migration,0.006777435,,GO:0043542,,,,,,,,,
0,9.72E-05,2,1752,GO:0051345,positive regulation of hydrolase activity,0.006777435,,GO:0051345,,,,,,,,,
0,9.59E-05,2,147,GO:1902305,regulation of sodium ion transmembrane transport,0.006777435,,GO:1902305,,,,,,,,,
