delta.rank,pval,level,nseqs,term,name,p.adj,,term,,,,,,,,,
0,0.772518251,2,147,GO:0032456,endocytic recycling,1,,,,,,,,,,,
0,0.884973575,6,84,GO:0032459,regulation of protein oligomerization,1,,,,,,,,,,,
0,0.734586371,2,41,GO:0032460,negative regulation of protein oligomerization,1,,,,,,,,,,,
0,0.716319821,3,40,GO:0032461,positive regulation of protein oligomerization,1,,,,,,,,,,,
0,0.632788878,2,45,GO:0032462,regulation of protein homooligomerization,1,,,,,,,,,,,
0,0.663215178,3,28,GO:0032463,negative regulation of protein homooligomerization,1,,,,,,,,,,,
0,0.329069441,2,17,GO:0032464,positive regulation of protein homooligomerization,1,,,,,,,,,,,
0,0.974785618,3,106,GO:0032467,positive regulation of cytokinesis,1,,,,,,,,,,,
0,0.701892863,9,58,GO:0032469,endoplasmic reticulum calcium ion homeostasis,1,,,,,,,,,,,
0,1,2,8,GO:0032470;GO:1903515,calcium ion transport from cytosol to endoplasmic reticulum,1,,,,,,,,,,,
0,0.850308525,2,15,GO:0032471,negative regulation of endoplasmic reticulum calcium ion concentration,1,,,,,,,,,,,
0,0.64880604,2,18,GO:0032474,otolith morphogenesis,1,,,,,,,,,,,
0,0.332954699,2,215,GO:0032479,regulation of type I interferon production,1,,,,,,,,,,,
0,0.723398531,4,78,GO:0032480,negative regulation of type I interferon production,1,,,,,,,,,,,
0,0.999990289,5,113,GO:0032482,Rab protein signal transduction,1,,,,,,,,,,,
0,1,3,5,GO:0032484,Ral protein signal transduction,1,,,,,,,,,,,
0,1,2,5,GO:0032485,regulation of Ral protein signal transduction,1,,,,,,,,,,,
0,1,2,7,GO:0032488,Cdc42 protein signal transduction,1,,,,,,,,,,,
0,0.617084583,2,17,GO:0032490,detection of molecule of bacterial origin,1,,,,,,,,,,,
0,1,6,6,GO:0032493;GO:0070339;GO:0071220;GO:0071221;GO:0038124;GO:0071724;GO:0071726,cellular response to bacterial lipopeptide,1,,,,,,,,,,,
0,0.612091,2,26,GO:0032494,response to peptidoglycan,1,,,,,,,,,,,
0,0.999979121,2,85,GO:0032509;GO:0071985,multivesicular body sorting pathway,1,,,,,,,,,,,
0,1,2,23,GO:0032510,endosome to lysosome transport via multivesicular body sorting pathway,1,,,,,,,,,,,
0,1,3,17,GO:0032511;GO:0045324,late endosome to vacuole transport,1,,,,,,,,,,,
0,0.36034687,2,41,GO:0032525,somite rostral/caudal axis specification,1,,,,,,,,,,,
0,0.367054752,4,325,GO:0032526,response to retinoic acid,1,,,,,,,,,,,
0,0.761578891,4,62,GO:0032528,microvillus organization,1,,,,,,,,,,,
0,0.971161259,2,28,GO:0032530,regulation of microvillus organization,1,,,,,,,,,,,
0,1,3,10,GO:0032532,regulation of microvillus length,1,,,,,,,,,,,
0,0.897628656,7,18,GO:0032534,regulation of microvillus assembly,1,,,,,,,,,,,
0,0.909808028,2,19,GO:0032536,regulation of cell projection size,1,,,,,,,,,,,
0,0.734742857,2,179,GO:0032570,response to progesterone,1,,,,,,,,,,,
0,0.718041534,5,10,GO:0032571;GO:0071307,response to vitamin K,1,,,,,,,,,,,
0,0.853564587,3,70,GO:0032594,protein transport within lipid bilayer,1,,,,,,,,,,,
0,0.929993176,4,21,GO:0032596,protein transport into membrane raft,1,,,,,,,,,,,
0,1,2,16,GO:0032602,chemokine production,1,,,,,,,,,,,
0,1,2,15,GO:0032606,type I interferon production,1,,,,,,,,,,,
0,1,6,7,GO:0032607,interferon-alpha production,1,,,,,,,,,,,
0,0.944693832,2,37,GO:0032609,interferon-gamma production,1,,,,,,,,,,,
0,0.931950822,4,35,GO:0032611;GO:0032612,interleukin-1 production,1,,,,,,,,,,,
0,1,2,17,GO:0032613,interleukin-10 production,1,,,,,,,,,,,
0,1,2,11,GO:0032615,interleukin-12 production,1,,,,,,,,,,,
0,1,3,13,GO:0032620,interleukin-17 production,1,,,,,,,,,,,
0,0.883805177,2,17,GO:0032623,interleukin-2 production,1,,,,,,,,,,,
0,0.830097807,3,14,GO:0032633,interleukin-4 production,1,,,,,,,,,,,
0,1,2,15,GO:0032635,interleukin-6 production,1,,,,,,,,,,,
0,0.751576986,5,11,GO:0032637,interleukin-8 production,1,,,,,,,,,,,
0,1,3,6,GO:0032641,lymphotoxin A production,1,,,,,,,,,,,
0,0.694258873,2,139,GO:0032642,regulation of chemokine production,1,,,,,,,,,,,
0,0.678399952,2,19,GO:0032645;GO:0032725,regulation of granulocyte macrophage colony-stimulating factor production,1,,,,,,,,,,,
0,0.591305617,2,43,GO:0032647;GO:0032727,regulation of interferon-alpha production,1,,,,,,,,,,,
0,0.994075404,2,160,GO:0032649,regulation of interferon-gamma production,1,,,,,,,,,,,
0,0.705923662,2,20,GO:0032650;GO:0032730,regulation of interleukin-1 alpha production,1,,,,,,,,,,,
0,0.800344979,2,141,GO:0032651;GO:0032652,regulation of interleukin-1 production,1,,,,,,,,,,,
0,0.853564587,2,70,GO:0032653;GO:0032733,regulation of interleukin-10 production,1,,,,,,,,,,,
0,0.337586444,2,87,GO:0032655,regulation of interleukin-12 production,1,,,,,,,,,,,
0,1,2,45,GO:0032656;GO:0032674,regulation of interleukin-13 production,1,,,,,,,,,,,
0,0.862078984,2,28,GO:0032660;GO:0032700,regulation of interleukin-17 production,1,,,,,,,,,,,
0,0.938322978,2,22,GO:0032661,regulation of interleukin-18 production,1,,,,,,,,,,,
0,0.781124897,2,12,GO:0032667,regulation of interleukin-23 production,1,,,,,,,,,,,
0,0.997405828,2,47,GO:0032673;GO:0032753,regulation of interleukin-4 production,1,,,,,,,,,,,
0,0.876610262,2,209,GO:0032675,regulation of interleukin-6 production,1,,,,,,,,,,,
0,0.858205482,2,120,GO:0032677;GO:0032757,regulation of interleukin-8 production,1,,,,,,,,,,,
0,0.808881556,3,225,GO:0032680;GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,1,,,,,,,,,,,
0,0.751951145,4,42,GO:0032682,negative regulation of chemokine production,1,,,,,,,,,,,
0,0.317496046,2,24,GO:0032688,negative regulation of interferon-beta production,1,,,,,,,,,,,
0,0.91957164,3,57,GO:0032689,negative regulation of interferon-gamma production,1,,,,,,,,,,,
0,0.907522111,5,32,GO:0032691,negative regulation of interleukin-1 beta production,1,,,,,,,,,,,
0,0.969568581,4,56,GO:0032692,negative regulation of interleukin-1 production,1,,,,,,,,,,,
0,0.920538784,4,20,GO:0032693,negative regulation of interleukin-10 production,1,,,,,,,,,,,
0,0.967265464,2,27,GO:0032695,negative regulation of interleukin-12 production,1,,,,,,,,,,,
0,1,4,18,GO:0032696;GO:0032714,negative regulation of interleukin-13 production,1,,,,,,,,,,,
0,0.532117413,4,6,GO:0032707,negative regulation of interleukin-23 production,1,,,,,,,,,,,
0,1,3,8,GO:0032713,negative regulation of interleukin-4 production,1,,,,,,,,,,,
0,0.98376596,4,88,GO:0032715,negative regulation of interleukin-6 production,1,,,,,,,,,,,
0,0.886900705,2,30,GO:0032717,negative regulation of interleukin-8 production,1,,,,,,,,,,,
0,0.988495934,4,92,GO:0032720;GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,1,,,,,,,,,,,
0,0.540081577,4,92,GO:0032722,positive regulation of chemokine production,1,,,,,,,,,,,
0,0.983687881,3,100,GO:0032729,positive regulation of interferon-gamma production,1,,,,,,,,,,,
0,0.352442705,2,88,GO:0032731;GO:0032732,positive regulation of interleukin-1 production,1,,,,,,,,,,,
0,1,4,24,GO:0032736,positive regulation of interleukin-13 production,1,,,,,,,,,,,
0,0.807159278,3,13,GO:0032740,positive regulation of interleukin-17 production,1,,,,,,,,,,,
0,1,3,7,GO:0032741,positive regulation of interleukin-18 production,1,,,,,,,,,,,
0,0.533282709,3,66,GO:0032743,positive regulation of interleukin-2 production,1,,,,,,,,,,,
0,0.572293537,3,120,GO:0032755,positive regulation of interleukin-6 production,1,,,,,,,,,,,
0,0.476960611,2,138,GO:0032760;GO:1903557,positive regulation of tumor necrosis factor production,1,,,,,,,,,,,
0,1,9,6,GO:0032762;GO:1904341;GO:1904343,regulation of colon smooth muscle contraction,1,,,,,,,,,,,
0,0.718041534,4,10,GO:0032763;GO:0032765,regulation of mast cell cytokine production,1,,,,,,,,,,,
0,0.91829784,3,180,GO:0032781,positive regulation of ATPase activity,1,,,,,,,,,,,
0,0.751576986,2,11,GO:0032782,bile acid secretion,1,,,,,,,,,,,
0,1,2,13,GO:0032790,ribosome disassembly,1,,,,,,,,,,,
0,1,2,10,GO:0032792,negative regulation of CREB transcription factor activity,1,,,,,,,,,,,
0,0.650978522,8,55,GO:0032793,positive regulation of CREB transcription factor activity,1,,,,,,,,,,,
0,0.584646839,3,25,GO:0032799;GO:0032802,low-density lipoprotein receptor particle metabolic process,1,,,,,,,,,,,
0,0.807159278,-1,13,GO:0032800,obsolete receptor biosynthetic process,1,,,,,,,,,,,
0,0.855849892,2,60,GO:0032801,receptor catabolic process,1,,,,,,,,,,,
0,0.830097807,2,14,GO:0032803,regulation of low-density lipoprotein particle receptor catabolic process,1,,,,,,,,,,,
0,0.587758061,4,7,GO:0032804;GO:2000645,negative regulation of low-density lipoprotein particle receptor catabolic process,1,,,,,,,,,,,
0,0.982884526,2,48,GO:0032814,regulation of natural killer cell activation,1,,,,,,,,,,,
0,1,3,13,GO:0032815,negative regulation of natural killer cell activation,1,,,,,,,,,,,
0,0.91645955,7,33,GO:0032816,positive regulation of natural killer cell activation,1,,,,,,,,,,,
0,0.636783715,2,8,GO:0032817;GO:0032819,regulation of natural killer cell proliferation,1,,,,,,,,,,,
0,0.832349448,5,26,GO:0032823,regulation of natural killer cell differentiation,1,,,,,,,,,,,
0,0.617084583,3,17,GO:0032825,positive regulation of natural killer cell differentiation,1,,,,,,,,,,,
0,0.360980976,3,153,GO:0032835,glomerulus development,1,,,,,,,,,,,
0,1,2,13,GO:0032847,regulation of cellular pH reduction,1,,,,,,,,,,,
0,1,7,9,GO:0032849,positive regulation of cellular pH reduction,1,,,,,,,,,,,
0,0.604647724,2,1606,GO:0032870,cellular response to hormone stimulus,1,,,,,,,,,,,
0,0.442964228,4,94,GO:0032878;GO:2000114,regulation of establishment or maintenance of cell polarity,1,,,,,,,,,,,
0,0.509717091,2,2582,GO:0032880,regulation of protein localization,1,,,,,,,,,,,
0,0.757187068,2,90,GO:0032885,regulation of polysaccharide biosynthetic process,1,,,,,,,,,,,
0,0.513781538,3,48,GO:0032887;GO:0032888,regulation of spindle elongation,1,,,,,,,,,,,
0,0.994347175,2,73,GO:0032891,negative regulation of organic acid transport,1,,,,,,,,,,,
0,0.692829177,4,112,GO:0032892,positive regulation of organic acid transport,1,,,,,,,,,,,
0,0.532412757,2,100,GO:0032897;GO:0046782,regulation of viral transcription,1,,,,,,,,,,,
0,0.468969527,3,5,GO:0032898;GO:0032902,nerve growth factor production,1,,,,,,,,,,,
0,1,4,9,GO:0032899,regulation of neurotrophin production,1,,,,,,,,,,,
0,0.617084583,2,17,GO:0032908,regulation of transforming growth factor beta1 production,1,,,,,,,,,,,
0,0.718041534,5,10,GO:0032911,negative regulation of transforming growth factor beta1 production,1,,,,,,,,,,,
0,0.587758061,5,7,GO:0032914,positive regulation of transforming growth factor beta1 production,1,,,,,,,,,,,
0,1,4,8,GO:0032917;GO:0032918,polyamine acetylation,1,,,,,,,,,,,
0,0.779835237,2,73,GO:0032925,regulation of activin receptor signaling pathway,1,,,,,,,,,,,
0,0.663215178,4,28,GO:0032926,negative regulation of activin receptor signaling pathway,1,,,,,,,,,,,
0,0.952127845,4,24,GO:0032927,positive regulation of activin receptor signaling pathway,1,,,,,,,,,,,
0,0.999999149,4,2516,GO:0032940;GO:0046903;GO:0140352,secretion,1,,,,,,,,,,,
0,0.890447045,4,42,GO:0032941,secretion by tissue,1,,,,,,,,,,,
0,0.421889506,6,390,GO:0032944;GO:0070663;GO:0050670,regulation of leukocyte proliferation,1,,,,,,,,,,,
0,0.906724408,2,128,GO:0032945;GO:0070664;GO:0042130;GO:0050672,negative regulation of leukocyte proliferation,1,,,,,,,,,,,
0,0.329069441,4,17,GO:0032957,inositol trisphosphate metabolic process,1,,,,,,,,,,,
0,0.755067327,4,22,GO:0032958,inositol phosphate biosynthetic process,1,,,,,,,,,,,
0,0.532117413,6,6,GO:0032959,inositol trisphosphate biosynthetic process,1,,,,,,,,,,,
0,0.583200448,2,16,GO:0032960;GO:0032962,regulation of inositol trisphosphate biosynthetic process,1,,,,,,,,,,,
0,1,3,8,GO:0032971,regulation of muscle filament sliding,1,,,,,,,,,,,
0,0.781124897,2,12,GO:0032980,keratinocyte activation,1,,,,,,,,,,,
0,0.681634919,2,470,GO:0032984,protein-containing complex disassembly,1,,,,,,,,,,,
0,0.982628587,2,32,GO:0032988,ribonucleoprotein complex disassembly,1,,,,,,,,,,,
0,0.95162315,5,97,GO:0033003,regulation of mast cell activation,1,,,,,,,,,,,
0,1,2,23,GO:0033004,negative regulation of mast cell activation,1,,,,,,,,,,,
0,0.595067555,2,52,GO:0033005,positive regulation of mast cell activation,1,,,,,,,,,,,
0,0.767474701,3,72,GO:0033006;GO:0043304,regulation of mast cell degranulation,1,,,,,,,,,,,
0,1,3,17,GO:0033007;GO:0043305,negative regulation of mast cell activation involved in immune response,1,,,,,,,,,,,
0,0.830097807,3,14,GO:0033015;GO:0006787;GO:0042167;GO:0046149,tetrapyrrole catabolic process,1,,,,,,,,,,,
0,0.382687015,2,11,GO:0033025,regulation of mast cell apoptotic process,1,,,,,,,,,,,
0,0.636783715,4,8,GO:0033026,negative regulation of mast cell apoptotic process,1,,,,,,,,,,,
0,0.679980604,2,9,GO:0033029;GO:0033031,regulation of neutrophil apoptotic process,1,,,,,,,,,,,
0,0.924579819,2,34,GO:0033033,negative regulation of myeloid cell apoptotic process,1,,,,,,,,,,,
0,0.508940012,3,208,GO:0033047,regulation of mitotic sister chromatid segregation,1,,,,,,,,,,,
0,0.34927038,4,64,GO:0033048,negative regulation of mitotic sister chromatid segregation,1,,,,,,,,,,,
0,0.999218554,2,135,GO:0033059,cellular pigmentation,1,,,,,,,,,,,
0,1,2,22,GO:0033083;GO:0033084,regulation of immature T cell proliferation,1,,,,,,,,,,,
0,1,6,20,GO:0033085,negative regulation of T cell differentiation in thymus,1,,,,,,,,,,,
0,1,3,10,GO:0033087;GO:0033088,negative regulation of immature T cell proliferation in thymus,1,,,,,,,,,,,
0,1,2,12,GO:0033091;GO:0033092,positive regulation of immature T cell proliferation,1,,,,,,,,,,,
0,0.992766569,5,134,GO:0033108,mitochondrial respiratory chain complex assembly,1,,,,,,,,,,,
0,0.657604314,2,118,GO:0033119;GO:0048025;GO:0050686,negative regulation of mRNA processing,1,,,,,,,,,,,
0,0.966155959,2,102,GO:0033120,positive regulation of RNA splicing,1,,,,,,,,,,,
0,0.652533491,5,46,GO:0033127,regulation of histone phosphorylation,1,,,,,,,,,,,
0,0.830097807,2,14,GO:0033128,negative regulation of histone phosphorylation,1,,,,,,,,,,,
0,0.430554219,4,28,GO:0033129,positive regulation of histone phosphorylation,1,,,,,,,,,,,
0,0.945661923,4,23,GO:0033131;GO:1903299,regulation of hexokinase activity,1,,,,,,,,,,,
0,0.679980604,4,9,GO:0033132;GO:1903300,negative regulation of glucokinase activity,1,,,,,,,,,,,
0,1,2,15,GO:0033133;GO:1903301,positive regulation of hexokinase activity,1,,,,,,,,,,,
0,0.669643189,3,312,GO:0033135,regulation of peptidyl-serine phosphorylation,1,,,,,,,,,,,
0,0.974524245,4,223,GO:0033138,positive regulation of peptidyl-serine phosphorylation,1,,,,,,,,,,,
0,1,2,21,GO:0033139;GO:0033141,regulation of peptidyl-serine phosphorylation of STAT protein,1,,,,,,,,,,,
0,0.635922628,2,221,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,1,,,,,,,,,,,
0,0.796024358,3,84,GO:0033144,negative regulation of intracellular steroid hormone receptor signaling pathway,1,,,,,,,,,,,
0,0.415045183,3,84,GO:0033146,regulation of intracellular estrogen receptor signaling pathway,1,,,,,,,,,,,
0,0.91645955,2,33,GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway,1,,,,,,,,,,,
0,0.636783715,2,8,GO:0033152,immunoglobulin V(D)J recombination,1,,,,,,,,,,,
0,0.929993176,2,21,GO:0033182,regulation of histone ubiquitination,1,,,,,,,,,,,
0,1,4,6,GO:0033183;GO:1901314;GO:1901315,regulation of histone H2A K63-linked ubiquitination,1,,,,,,,,,,,
0,0.850308525,3,15,GO:0033184,positive regulation of histone ubiquitination,1,,,,,,,,,,,
0,0.49010121,5,72,GO:0033189,response to vitamin A,1,,,,,,,,,,,
0,0.404447155,3,35,GO:0033194,response to hydroperoxide,1,,,,,,,,,,,
0,0.806609655,3,85,GO:0033198,response to ATP,1,,,,,,,,,,,
0,0.424229514,2,175,GO:0033206,meiotic cytokinesis,1,,,,,,,,,,,
0,0.401485589,4,132,GO:0033209,tumor necrosis factor-mediated signaling pathway,1,,,,,,,,,,,
0,0.508958394,4,14,GO:0033210,leptin-mediated signaling pathway,1,,,,,,,,,,,
0,0.834766,2,58,GO:0033227,dsRNA transport,1,,,,,,,,,,,
0,0.811222591,2,56,GO:0033233,regulation of protein sumoylation,1,,,,,,,,,,,
0,0.508958394,2,14,GO:0033234,negative regulation of protein sumoylation,1,,,,,,,,,,,
0,0.858357333,2,39,GO:0033235,positive regulation of protein sumoylation,1,,,,,,,,,,,
0,0.764712374,5,100,GO:0033238,regulation of cellular amine metabolic process,1,,,,,,,,,,,
0,0.987665857,2,51,GO:0033260,nuclear DNA replication,1,,,,,,,,,,,
0,0.985096063,5,89,GO:0033280,response to vitamin D,1,,,,,,,,,,,
0,1,3,10,GO:0033299,secretion of lysosomal enzymes,1,,,,,,,,,,,
0,0.830097807,2,14,GO:0033313,meiotic cell cycle checkpoint,1,,,,,,,,,,,
0,0.64880604,4,18,GO:0033314,mitotic DNA replication checkpoint,1,,,,,,,,,,,
0,1,7,6,GO:0033316;GO:0044779;GO:1902103;GO:1905133,negative regulation of metaphase/anaphase transition of meiotic cell cycle,1,,,,,,,,,,,
0,0.587758061,2,7,GO:0033326,cerebrospinal fluid secretion,1,,,,,,,,,,,
0,0.938635875,3,36,GO:0033327,Leydig cell differentiation,1,,,,,,,,,,,
0,0.337432237,3,10,GO:0033336;GO:0035143,caudal fin development,1,,,,,,,,,,,
0,0.991879948,2,38,GO:0033344,cholesterol efflux,1,,,,,,,,,,,
0,0.508958394,3,14,GO:0033353,S-adenosylmethionine cycle,1,,,,,,,,,,,
0,0.999863207,2,108,GO:0033363,secretory granule organization,1,,,,,,,,,,,
0,0.532117413,5,6,GO:0033489;GO:0033490,cholesterol biosynthetic process via desmosterol,1,,,,,,,,,,,
0,1,2,5,GO:0033499,galactose catabolic process via UDP-galactose,1,,,,,,,,,,,
0,0.367088089,5,572,GO:0033500;GO:0042593,carbohydrate homeostasis,1,,,,,,,,,,,
0,0.477527945,3,38,GO:0033504,floor plate development,1,,,,,,,,,,,
0,0.707573689,4,49,GO:0033522,histone H2A ubiquitination,1,,,,,,,,,,,
0,1,6,21,GO:0033523,histone H2B ubiquitination,1,,,,,,,,,,,
0,0.980006956,2,248,GO:0033555,multicellular organismal response to stress,1,,,,,,,,,,,
0,0.346898946,3,56,GO:0033561;GO:0061436,regulation of water loss via skin,1,,,,,,,,,,,
0,0.941388384,4,49,GO:0033564,anterior/posterior axon guidance,1,,,,,,,,,,,
0,1,2,8,GO:0033566,gamma-tubulin complex localization,1,,,,,,,,,,,
0,0.791890698,2,140,GO:0033574,response to testosterone,1,,,,,,,,,,,
0,1,6,5,GO:0033577,protein glycosylation in endoplasmic reticulum,1,,,,,,,,,,,
0,0.807159278,2,13,GO:0033594;GO:0033595,response to hydroxyisoflavone,1,,,,,,,,,,,
0,0.796945718,3,24,GO:0033598,mammary gland epithelial cell proliferation,1,,,,,,,,,,,
0,1,6,17,GO:0033602,negative regulation of dopamine secretion,1,,,,,,,,,,,
0,0.458219008,2,29,GO:0033603,positive regulation of dopamine secretion,1,,,,,,,,,,,
0,0.982884526,2,48,GO:0033604,negative regulation of catecholamine secretion,1,,,,,,,,,,,
0,0.756192355,3,52,GO:0033605,positive regulation of catecholamine secretion,1,,,,,,,,,,,
0,0.745354493,2,89,GO:0033619,membrane protein proteolysis,1,,,,,,,,,,,
0,0.526179364,6,23,GO:0033623,regulation of integrin activation,1,,,,,,,,,,,
0,1,7,6,GO:0033624;GO:0032690,negative regulation of integrin activation,1,,,,,,,,,,,
0,0.508958394,3,14,GO:0033625,positive regulation of integrin activation,1,,,,,,,,,,,
0,0.973731936,5,94,GO:0033628,regulation of cell adhesion mediated by integrin,1,,,,,,,,,,,
0,0.39725779,2,19,GO:0033629,negative regulation of cell adhesion mediated by integrin,1,,,,,,,,,,,
0,0.98953692,3,36,GO:0033630,positive regulation of cell adhesion mediated by integrin,1,,,,,,,,,,,
0,0.495287212,2,22,GO:0033631,cell-cell adhesion mediated by integrin,1,,,,,,,,,,,
0,0.430686562,2,20,GO:0033632,regulation of cell-cell adhesion mediated by integrin,1,,,,,,,,,,,
0,0.678399952,2,19,GO:0033684,regulation of luteinizing hormone secretion,1,,,,,,,,,,,
0,1,2,10,GO:0033685,negative regulation of luteinizing hormone secretion,1,,,,,,,,,,,
0,0.636783715,3,8,GO:0033687,osteoblast proliferation,1,,,,,,,,,,,
0,0.39725779,2,19,GO:0033689,negative regulation of osteoblast proliferation,1,,,,,,,,,,,
0,0.458219008,2,29,GO:0033690,positive regulation of osteoblast proliferation,1,,,,,,,,,,,
0,1,3,18,GO:0033700,phospholipid efflux,1,,,,,,,,,,,
0,0.997770325,5,82,GO:0033762,response to glucagon,1,,,,,,,,,,,
0,0.583200448,3,16,GO:0033860;GO:0033864,regulation of NAD(P)H oxidase activity,1,,,,,,,,,,,
0,0.739942001,5,107,GO:0033866;GO:0034030;GO:0034033;GO:0071616;GO:0035384,ribonucleoside bisphosphate biosynthetic process,1,,,,,,,,,,,
0,0.636783715,2,8,GO:0033869;GO:0034031;GO:0034034,nucleoside bisphosphate catabolic process,1,,,,,,,,,,,
0,0.950179256,6,38,GO:0033962,P-body assembly,1,,,,,,,,,,,
0,0.468969527,5,5,GO:0033986,response to methanol,1,,,,,,,,,,,
0,0.697152325,3,2213,GO:0033993,response to lipid,1,,,,,,,,,,,
0,0.957824569,2,25,GO:0034035;GO:0050427,purine ribonucleoside bisphosphate metabolic process,1,,,,,,,,,,,
0,1,3,10,GO:0034036;GO:0050428,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,1,,,,,,,,,,,
0,0.768991806,4,33,GO:0034058,endosomal vesicle fusion,1,,,,,,,,,,,
0,0.980281509,3,31,GO:0034059,response to anoxia,1,,,,,,,,,,,
0,0.886900705,6,30,GO:0034063,stress granule assembly,1,,,,,,,,,,,
0,0.580749972,4,60,GO:0034067,protein localization to Golgi apparatus,1,,,,,,,,,,,
0,0.731450953,5,21,GO:0034091;GO:0034182,regulation of maintenance of mitotic sister chromatid cohesion,1,,,,,,,,,,,
0,0.807159278,2,13,GO:0034092;GO:0034183;GO:1904907;GO:1904908,negative regulation of maintenance of sister chromatid cohesion,1,,,,,,,,,,,
0,0.636783715,2,8,GO:0034093;GO:0034184,positive regulation of maintenance of sister chromatid cohesion,1,,,,,,,,,,,
0,0.996969905,2,2002,GO:0034097;GO:0071345,response to cytokine,1,,,,,,,,,,,
0,0.367405235,2,73,GO:0034105,positive regulation of tissue remodeling,1,,,,,,,,,,,
0,0.800627489,4,94,GO:0034109,homotypic cell-cell adhesion,1,,,,,,,,,,,
0,0.650586886,2,64,GO:0034110,regulation of homotypic cell-cell adhesion,1,,,,,,,,,,,
0,0.635198023,4,72,GO:0034113,heterotypic cell-cell adhesion,1,,,,,,,,,,,
0,0.923055105,2,46,GO:0034114,regulation of heterotypic cell-cell adhesion,1,,,,,,,,,,,
0,1,3,20,GO:0034115;GO:0070587,regulation of cell-cell adhesion involved in gastrulation,1,,,,,,,,,,,
0,0.730384553,2,31,GO:0034116,positive regulation of heterotypic cell-cell adhesion,1,,,,,,,,,,,
0,0.707560439,3,176,GO:0034121;GO:0062207,regulation of pattern recognition receptor signaling pathway,1,,,,,,,,,,,
0,0.855849892,2,60,GO:0034122,negative regulation of toll-like receptor signaling pathway,1,,,,,,,,,,,
0,0.745354493,4,89,GO:0034123;GO:0062208,positive regulation of pattern recognition receptor signaling pathway,1,,,,,,,,,,,
0,0.845956206,2,38,GO:0034124,regulation of MyD88-dependent toll-like receptor signaling pathway,1,,,,,,,,,,,
0,0.636783715,7,8,GO:0034125,negative regulation of MyD88-dependent toll-like receptor signaling pathway,1,,,,,,,,,,,
0,0.952127845,2,24,GO:0034126,positive regulation of MyD88-dependent toll-like receptor signaling pathway,1,,,,,,,,,,,
0,1,2,7,GO:0034127,regulation of MyD88-independent toll-like receptor signaling pathway,1,,,,,,,,,,,
0,1,4,5,GO:0034128,negative regulation of MyD88-independent toll-like receptor signaling pathway,1,,,,,,,,,,,
0,0.526179364,4,23,GO:0034135,regulation of toll-like receptor 2 signaling pathway,1,,,,,,,,,,,
0,1,3,9,GO:0034136,negative regulation of toll-like receptor 2 signaling pathway,1,,,,,,,,,,,
0,0.329069441,5,17,GO:0034137,positive regulation of toll-like receptor 2 signaling pathway,1,,,,,,,,,,,
0,0.832349448,2,26,GO:0034138,toll-like receptor 3 signaling pathway,1,,,,,,,,,,,
0,0.584646839,2,25,GO:0034139;GO:0034141,regulation of toll-like receptor 3 signaling pathway,1,,,,,,,,,,,
0,1,4,8,GO:0034140,negative regulation of toll-like receptor 3 signaling pathway,1,,,,,,,,,,,
0,0.453435446,2,37,GO:0034143,regulation of toll-like receptor 4 signaling pathway,1,,,,,,,,,,,
0,0.382687015,3,11,GO:0034144,negative regulation of toll-like receptor 4 signaling pathway,1,,,,,,,,,,,
0,0.612091,5,26,GO:0034145,positive regulation of toll-like receptor 4 signaling pathway,1,,,,,,,,,,,
0,0.337432237,5,10,GO:0034196;GO:0034197,acylglycerol transport,1,,,,,,,,,,,
0,1,6,21,GO:0034199,activation of protein kinase A activity,1,,,,,,,,,,,
0,0.382687015,2,11,GO:0034201,response to oleic acid,1,,,,,,,,,,,
0,0.993867176,2,86,GO:0034204;GO:0097035;GO:0045332,regulation of membrane lipid distribution,1,,,,,,,,,,,
0,0.909808028,5,19,GO:0034205;GO:0035333,amyloid-beta formation,1,,,,,,,,,,,
0,0.967265464,2,27,GO:0034214,protein hexamerization,1,,,,,,,,,,,
0,1,2,2462,GO:0034220;GO:0055085,transmembrane transport,1,,,,,,,,,,,
0,1,3,8,GO:0034227,tRNA thio-modification,1,,,,,,,,,,,
0,1,2,7,GO:0034239,regulation of macrophage fusion,1,,,,,,,,,,,
0,1,5,11,GO:0034242,negative regulation of syncytium formation by plasma membrane fusion,1,,,,,,,,,,,
0,0.796918001,3,385,GO:0034250;GO:0045727,positive regulation of cellular amide metabolic process,1,,,,,,,,,,,
0,0.589380406,2,104,GO:0034308,primary alcohol metabolic process,1,,,,,,,,,,,
0,0.636783715,3,8,GO:0034309;GO:0032341;GO:0032342;GO:0034650;GO:0034651;GO:1902645,primary alcohol biosynthetic process,1,,,,,,,,,,,
0,0.468969527,2,5,GO:0034310,primary alcohol catabolic process,1,,,,,,,,,,,
0,0.869873888,3,40,GO:0034311;GO:0034312,diol metabolic process,1,,,,,,,,,,,
0,0.832621626,2,37,GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,1,,,,,,,,,,,
0,0.807159278,2,13,GO:0034316,negative regulation of Arp2/3 complex-mediated actin nucleation,1,,,,,,,,,,,
0,0.921140249,2,258,GO:0034331;GO:0043954,cellular component maintenance,1,,,,,,,,,,,
0,0.789027251,4,330,GO:0034332,adherens junction organization,1,,,,,,,,,,,
