"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.92047501409691 2 475 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.826740747611753 2 170 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 1
0 0.938049591437198 5 145 "GO:0001755" "neural crest cell migration" 1
0 0.909834646759022 2 291 "GO:0001756;GO:0061053" "somite development" 1
0 1 2 17 "GO:0001757" "somite specification" 1
0 1 3 49 "GO:0001759" "organ induction" 1
0 0.999433749712975 2 639 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 1
0 0.999991958753791 4 501 "GO:0001764" "neuron migration" 1
0 0.802780670200701 2 39 "GO:0001765" "membrane raft assembly" 1
0 1 2 22 "GO:0001766;GO:0031580;GO:0051665" "membrane raft localization" 1
0 1 3 13 "GO:0001767" "establishment of lymphocyte polarity" 1
0 1 5 9 "GO:0001768" "establishment of T cell polarity" 1
0 1 3 31 "GO:0001771" "immunological synapse formation" 1
0 1 2 51 "GO:0001773;GO:0043011" "myeloid dendritic cell activation" 1
0 1 2 25 "GO:0001774" "microglial cell activation" 1
0 0.999998128877899 2 1952 "GO:0001775;GO:0045321" "cell activation" 1
0 0.94834332125319 2 151 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 1 6 20 "GO:0001778" "plasma membrane repair" 1
0 1 4 27 "GO:0001779" "natural killer cell differentiation" 1
0 0.582664379835155 2 21 "GO:0001780" "neutrophil homeostasis" 1
0 0.906847677093558 2 57 "GO:0001782" "B cell homeostasis" 1
0 0.441499613436689 7 14 "GO:0001783" "B cell apoptotic process" 1
0 0.993913640421643 2 297 "GO:0001816" "cytokine production" 1
0 0.976234657952813 4 1156 "GO:0001817" "regulation of cytokine production" 1
0 0.765071538892587 2 483 "GO:0001818" "negative regulation of cytokine production" 1
0 0.988932653784962 2 704 "GO:0001819" "positive regulation of cytokine production" 1
0 1 2 24 "GO:0001820;GO:0006837" "serotonin transport" 1
0 0.999752553998497 2 742 "GO:0001822" "kidney development" 1
0 0.0462221986452446 3 189 "GO:0001824" "blastocyst development" 0.882642192425305
0 0.160925537337204 2 90 "GO:0001825" "blastocyst formation" 1
0 0.0212648556246633 3 15 "GO:0001826" "inner cell mass cell differentiation" 0.58028194718657
0 1 4 6 "GO:0001827" "inner cell mass cell fate commitment" 1
0 1 2 6 "GO:0001828" "inner cell mass cellular morphogenesis" 1
0 0.444411797207787 3 60 "GO:0001829" "trophectodermal cell differentiation" 1
0 1 2 6 "GO:0001830" "trophectodermal cell fate commitment" 1
0 1 4 9 "GO:0001831" "trophectodermal cellular morphogenesis" 1
0 0.145733523290334 2 50 "GO:0001832" "blastocyst growth" 1
0 0.130829623196189 2 31 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.283100576127186 2 8 "GO:0001834" "trophectodermal cell proliferation" 1
0 1 4 8 "GO:0001835" "blastocyst hatching" 1
0 0.564316392828404 2 46 "GO:0001836" "release of cytochrome c from mitochondria" 1
0 0.362541357439122 2 235 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.926435404114966 2 421 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 0.794391732055787 2 38 "GO:0001839;GO:0001840" "neural plate development" 1
0 0.576586982351958 6 302 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 1
0 1 2 16 "GO:0001842" "neural fold formation" 1
0 1 6 8 "GO:0001844" "protein insertion into mitochondrial membrane involved in apoptotic signaling pathway" 1
0 0.846400906031853 3 45 "GO:0001845" "phagolysosome assembly" 1
0 1 8 5 "GO:0001865" "NK T cell differentiation" 1
0 1 2 8 "GO:0001867" "complement activation, lectin pathway" 1
0 1 4 10 "GO:0001868;GO:0001869" "regulation of complement activation, lectin pathway" 1
0 0.846400906031853 2 45 "GO:0001878" "response to yeast" 1
0 1 3 8 "GO:0001879;GO:0016046;GO:0097323" "detection of fungus" 1
0 1 3 6 "GO:0001880" "Mullerian duct regression" 1
0 1 5 26 "GO:0001881" "receptor recycling" 1
0 0.983004354349935 5 145 "GO:0001885" "endothelial cell development" 1
0 1 2 28 "GO:0001886" "endothelial cell morphogenesis" 1
0 1 2 7 "GO:0001887" "selenium compound metabolic process" 1
0 0.44247409815399 2 443 "GO:0001889;GO:0061008" "hepaticobiliary system development" 1
0 0.998562973975341 3 384 "GO:0001890" "placenta development" 1
0 0.999940791789784 2 233 "GO:0001892" "embryonic placenta development" 1
0 0.889956803727035 3 91 "GO:0001893" "maternal placenta development" 1
0 0.997964151831184 5 588 "GO:0001894" "tissue homeostasis" 1
