delta.rank,pval,level,nseqs,term,name,p.adj
0,0.000117269,3,885,GO:0071375;GO:1901653,cellular response to peptide,0.007680061
0,0.000123894,3,164,GO:0032506,cytokinetic process,0.008013848
0,0.000130696,4,526,GO:0032869,cellular response to insulin stimulus,0.008336395
0,0.000129908,2,14,GO:2000643,positive regulation of early endosome to late endosome transport,0.008336395
0,0.000151139,4,1008,GO:0010038,response to metal ion,0.009531258
0,0.000153579,5,578,GO:0032388,positive regulation of intracellular transport,0.009531258
0,0.000151572,4,156,GO:0050000;GO:0051303,chromosome localization,0.009531258
0,0.000152585,4,2686,GO:0051050,positive regulation of transport,0.009531258
0,0.000155526,2,1285,GO:0071407,cellular response to organic cyclic compound,0.009587262
0,0.000159296,3,20,GO:0010041,response to iron(III) ion,0.009689597
0,0.000159296,2,20,GO:0051256,mitotic spindle midzone assembly,0.009689597
0,0.000166366,2,1394,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,0.010053116
0,0.000169247,2,365,GO:0050866,negative regulation of cell activation,0.010160371
0,0.000173601,4,64,GO:0033048,negative regulation of mitotic sister chromatid segregation,0.010354041
0,0.000176536,3,48,GO:0035336;GO:0035338,long-chain fatty-acyl-CoA metabolic process,0.010461187
0,0.000180458,2,128,GO:0032945;GO:0070664;GO:0042130;GO:0050672,negative regulation of leukocyte proliferation,0.010566704
0,0.000180618,5,168,GO:0034502,protein localization to chromosome,0.010566704
0,0.000187823,3,221,GO:0030168,platelet activation,0.010918689
0,0.000198273,3,391,GO:0002699,positive regulation of immune effector process,0.011277686
0,0.000197756,3,474,GO:0006914;GO:0061919,autophagy,0.011277686
0,0.000195415,2,82,GO:0016572,histone phosphorylation,0.011277686
0,0.00019891,2,299,GO:0050764;GO:0050766,regulation of phagocytosis,0.011277686
0,0.000203769,3,10,GO:0010499,proteasomal ubiquitin-independent protein catabolic process,0.011343145
0,0.000203145,2,27,GO:0097178,ruffle assembly,0.011343145
0,0.000203145,3,27,GO:2001171,positive regulation of ATP biosynthetic process,0.011343145
0,0.000207357,3,244,GO:0000041,transition metal ion transport,0.01140464
0,0.000207335,4,2168,GO:0009894;GO:0031329,regulation of catabolic process,0.01140464
0,0.000223338,4,92,GO:0032720;GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,0.012210447
0,0.000225796,2,21,GO:0002692,negative regulation of cellular extravasation,0.012271812
0,0.000242493,2,121,GO:0051353,positive regulation of oxidoreductase activity,0.01310177
0,0.000252167,2,214,GO:0002688;GO:0002690,regulation of leukocyte chemotaxis,0.013388149
0,0.000249748,2,141,GO:0007291,sperm individualization,0.013388149
0,0.000251405,2,2400,GO:0044070,regulation of anion transport,0.013388149
0,0.000254591,2,269,GO:0010883,regulation of lipid storage,0.013439195
0,0.000270806,2,792,GO:0009612,response to mechanical stimulus,0.01405284
0,0.000268553,4,28,GO:0033129,positive regulation of histone phosphorylation,0.01405284
0,0.000269722,2,35,GO:0043519,regulation of myosin II filament organization,0.01405284
0,0.000276191,2,103,GO:0044837,actomyosin contractile ring organization,0.014251779
0,0.000278227,2,2489,GO:0043066;GO:0043069;GO:0060548,negative regulation of cell death,0.014276597
0,0.000292551,3,163,GO:0010965;GO:1905818;GO:0030071;GO:1902099,regulation of chromosome separation,0.01484575
0,0.000291258,2,975,GO:0045087,innate immune response,0.01484575
0,0.000301606,6,59,GO:2000249,regulation of actin cytoskeleton reorganization,0.015221159
0,0.00030394,4,43,GO:0007094;GO:0045841;GO:0071173;GO:0071174;GO:1902100;GO:2000816;GO:0031577;GO:1905819,negative regulation of chromosome separation,0.015255116
0,0.000306668,2,283,GO:0034614,cellular response to reactive oxygen species,0.015308405
0,0.000310591,2,606,GO:0044706;GO:0007565,multi-multicellular organism process,0.015420419
0,0.000316394,2,261,GO:0002478;GO:0019884;GO:0048002,antigen processing and presentation of peptide antigen,0.015624061
0,0.000326264,2,95,GO:2000107,negative regulation of leukocyte apoptotic process,0.016025306
0,0.00032905,2,1097,GO:0051301,cell division,0.016076193
0,0.000335876,2,86,GO:0045920,negative regulation of exocytosis,0.016322871
0,0.000339099,2,497,GO:0000302,response to reactive oxygen species,0.016392755
0,0.000350209,2,29,GO:0045476,nurse cell apoptotic process,0.016841202
0,0.00035389,2,11,GO:0032615,interleukin-12 production,0.016841871
0,0.00035389,2,11,GO:2000389;GO:2000391,regulation of neutrophil extravasation,0.016841871
0,0.000371017,3,44,GO:0071801;GO:0071803,regulation of podosome assembly,0.017565941
0,0.000400042,5,310,GO:0034341;GO:0071346,response to interferon-gamma,0.01884301
0,0.000409338,2,625,GO:0031334,positive regulation of protein-containing complex assembly,0.01918248
0,0.000416673,3,2213,GO:0033993,response to lipid,0.019427107
0,0.000425185,2,23,GO:0016321,female meiosis chromosome segregation,0.019723879
0,0.000429516,4,502,GO:0008064;GO:0030832;GO:0030833,regulation of actin filament length,0.019824642
0,0.000438823,4,70,GO:0007259;GO:0097696,receptor signaling pathway via JAK-STAT,0.020052692
0,0.000437036,3,589,GO:0046578,regulation of Ras protein signal transduction,0.020052692
0,0.000443687,2,53,GO:0008608,attachment of spindle microtubules to kinetochore,0.020075213
0,0.000443687,6,53,GO:0010758;GO:1905521,regulation of macrophage migration,0.020075213
0,0.000449975,-1,45,GO:0010869,obsolete regulation of receptor biosynthetic process,0.020259911
0,0.0004565,3,244,GO:0051701,biological process involved in interaction with host,0.020453409
0,0.000460182,2,233,GO:0070613;GO:1903317,regulation of protein maturation,0.020518325
0,0.000469325,2,383,GO:1903364,positive regulation of cellular protein catabolic process,0.020824871
0,0.000473208,3,267,GO:0002576,platelet degranulation,0.020896244
0,0.000479738,2,313,GO:0019882,antigen processing and presentation,0.021083233
0,0.000491516,2,89,GO:0006984,ER-nucleus signaling pathway,0.021298123
0,0.000491584,2,860,GO:0030100,regulation of endocytosis,0.021298123
0,0.000487318,2,62,GO:1903306,negative regulation of regulated secretory pathway,0.021298123
0,0.000500615,2,118,GO:0070228,regulation of lymphocyte apoptotic process,0.021587534
0,0.000506179,5,71,GO:0043330,response to exogenous dsRNA,0.021687182
0,0.000507648,3,822,GO:0071214;GO:0104004,cellular response to environmental stimulus,0.021687182
0,0.000521215,2,2576,GO:0007281;GO:0007292;GO:0048477,germ cell development,0.021993107
0,0.000521992,2,433,GO:0009615,response to virus,0.021993107
0,0.000517839,2,568,GO:0045732,positive regulation of protein catabolic process,0.021993107
0,0.00052539,4,54,GO:0030194;GO:0050820;GO:1900048,positive regulation of coagulation,0.022035205
0,0.000537943,2,170,GO:0019674,NAD metabolic process,0.02245911
0,0.00054239,5,46,GO:0033127,regulation of histone phosphorylation,0.022542303
0,0.000550634,2,258,GO:0038093,Fc receptor signaling pathway,0.022781843
0,0.000555206,3,119,GO:0097006,regulation of plasma lipoprotein particle levels,0.022868008
0,0.000583586,4,659,GO:0006954,inflammatory response,0.023005309
0,0.000576078,2,81,GO:0010574;GO:0010575,regulation of vascular endothelial growth factor production,0.023005309
0,0.000567826,2,236,GO:0032465,regulation of cytokinesis,0.023005309
0,0.000574753,3,12,GO:0035298;GO:1902766,skeletal muscle satellite cell migration,0.023005309
0,0.000582079,2,72,GO:0035337;GO:0046949,fatty-acyl-CoA metabolic process,0.023005309
0,0.000574753,3,12,GO:0035964;GO:0048200;GO:0048205,Golgi transport vesicle coating,0.023005309
0,0.000562545,3,160,GO:0070301,cellular response to hydrogen peroxide,0.023005309
0,0.00057917,2,423,GO:0072330,monocarboxylic acid biosynthetic process,0.023005309
0,0.000574753,2,12,GO:0072741;GO:1905345,protein localization to cell division site,0.023005309
0,0.000574753,2,12,GO:2000774,positive regulation of cellular senescence,0.023005309
0,0.000594299,2,305,GO:0000086;GO:0044839,cell cycle G2/M phase transition,0.023228229
0,0.000594299,4,305,GO:0042542,response to hydrogen peroxide,0.023228229
0,0.000600658,4,182,GO:0046916,cellular transition metal ion homeostasis,0.023377312
0,0.00061641,2,204,GO:0045132,meiotic chromosome segregation,0.023889156
0,0.000652768,2,272,GO:0002822;GO:0002819,regulation of adaptive immune response,0.024635723
0,0.000650273,2,183,GO:0006901;GO:0048194;GO:0048199;GO:0048207;GO:0048208;GO:0090114,Golgi vesicle budding,0.024635723
0,0.000649705,2,1146,GO:0008610,lipid biosynthetic process,0.024635723
0,0.000649969,3,47,GO:0032928;GO:0032930,regulation of superoxide anion generation,0.024635723
0,0.000649969,8,47,GO:0034314,Arp2/3 complex-mediated actin nucleation,0.024635723
0,0.000649969,4,47,GO:0035459,vesicle cargo loading,0.024635723
0,0.000671882,2,1830,GO:0030029;GO:0030036,actin filament-based process,0.025188721
0,0.000703419,4,184,GO:0010830,regulation of myotube differentiation,0.02626382
0,0.000712317,3,2351,GO:0032101,regulation of response to external stimulus,0.026488403
0,0.000726731,-1,56,GO:0044126;GO:0044130;GO:0044144;GO:0044146,obsolete regulation of growth of symbiont in host,0.026915433
0,0.000743301,2,477,GO:0014074;GO:0046683,response to purine-containing compound,0.027254916
0,0.0007448,3,25,GO:0035404;GO:0043987,histone-serine phosphorylation,0.027254916
0,0.0007448,2,25,GO:0046898,response to cycloheximide,0.027254916
0,0.000765107,4,321,GO:0002218;GO:0002758,activation of innate immune response,0.027667349
0,0.000761077,4,65,GO:0031529,ruffle organization,0.027667349
0,0.000762936,3,74,GO:2000300,regulation of synaptic vesicle exocytosis,0.027667349
0,0.000770929,-1,441,GO:0009108;GO:0051188,obsolete cofactor biosynthetic process,0.027768568
0,0.000774557,3,48,GO:0032887;GO:0032888,regulation of spindle elongation,0.027790243
0,0.000789701,2,143,GO:0071479,cellular response to ionizing radiation,0.028223363
0,0.000816442,2,430,GO:0045766;GO:1904018,positive regulation of vasculature development,0.029065967
0,0.000863082,2,265,GO:0007052,mitotic spindle organization,0.030607768
0,0.000884921,3,13,GO:0035983;GO:0035984,cellular response to trichostatin A,0.031261539
0,0.00089178,2,581,GO:0042742,defense response to bacterium,0.03138313
0,0.000945369,4,8,GO:0000741;GO:0007344,karyogamy,0.031959172
0,0.000920265,2,1091,GO:0001666;GO:0036293;GO:0070482,response to oxygen levels,0.031959172
0,0.000945369,4,8,GO:0002248;GO:0097709,connective tissue replacement involved in inflammatory response wound healing,0.031959172
0,0.000945369,2,8,GO:0002522,leukocyte migration involved in immune response,0.031959172
0,0.000918133,8,49,GO:0007035,vacuolar acidification,0.031959172
0,0.000945369,2,8,GO:0030726,male germline ring canal formation,0.031959172
0,0.000918133,4,49,GO:0034508,centromere complex assembly,0.031959172
0,0.000945369,5,8,GO:0070601,centromeric sister chromatid cohesion,0.031959172
0,0.000945774,2,85,GO:0071827;GO:0071825,protein-lipid complex subunit organization,0.031959172
0,0.000945369,2,8,GO:1904170,regulation of bleb assembly,0.031959172
0,0.000946423,2,177,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,0.031959172
0,0.000954249,2,1527,GO:0033365,protein localization to organelle,0.032105403
0,0.000975342,5,711,GO:0032868,response to insulin,0.032695305
0,0.000981089,2,2680,GO:0051336,regulation of hydrolase activity,0.032768381
0,0.001002808,3,686,GO:0031668;GO:0031669,cellular response to extracellular stimulus,0.033372439
0,0.001023465,2,350,GO:0071236,cellular response to antibiotic,0.033936908
0,0.001067642,3,662,GO:0002793;GO:0050714,positive regulation of peptide secretion,0.035148007
0,0.001064366,6,86,GO:1903649,regulation of cytoplasmic transport,0.035148007
0,0.001083257,3,701,GO:0007264;GO:0007265,small GTPase mediated signal transduction,0.035408236
0,0.001082815,2,50,GO:0032954,regulation of cytokinetic process,0.035408236
0,0.001113317,7,34,GO:0060396,growth hormone receptor signaling pathway,0.036261757
0,0.001129115,4,885,GO:0002683,negative regulation of immune system process,0.036646375
0,0.001145673,2,59,GO:0065005,protein-lipid complex assembly,0.037052848
0,0.001192815,2,191,GO:0002221;GO:0002224,pattern recognition receptor signaling pathway,0.038442131
0,0.001212807,2,259,GO:0008088,axo-dendritic transport,0.038949775
0,0.001229518,2,27,GO:0043622,cortical microtubule organization,0.039348852
0,0.001246266,2,107,GO:0030728,ovulation,0.039608828
0,0.001246266,2,107,GO:0051310;GO:0007080,metaphase plate congression,0.039608828
0,0.001255899,6,1566,GO:0030162,regulation of proteolysis,0.039653923
0,0.001256319,2,214,GO:0030330;GO:0042770,signal transduction in response to DNA damage,0.039653923
0,0.00130496,2,1762,GO:0010035,response to inorganic substance,0.040768912
0,0.001304373,2,14,GO:0032466,negative regulation of cytokinesis,0.040768912
0,0.001363271,7,35,GO:0010875,positive regulation of cholesterol efflux,0.042446252
0,0.001368204,3,1186,GO:0032103,positive regulation of response to external stimulus,0.042455935
0,0.001472109,4,345,GO:1901655,cellular response to ketone,0.045373565
0,0.001469748,4,1366,GO:1902903;GO:0032956;GO:0032970,regulation of actin filament-based process,0.045373565
0,0.001497448,2,89,GO:0001953,negative regulation of cell-matrix adhesion,0.045846877
0,0.001497145,2,70,GO:0019054;GO:0044068,modulation by symbiont of host cellular process,0.045846877
0,0.001509973,2,815,GO:0010506,regulation of autophagy,0.046076757
0,0.001540666,3,310,GO:0002695;GO:0051250,negative regulation of leukocyte activation,0.04670303
0,0.001549839,3,28,GO:0007084;GO:0101024,mitotic nuclear membrane organization,0.046826562
0,0.001593149,2,21,GO:0010032,meiotic chromosome condensation,0.047509976
0,0.001593149,3,21,GO:0016344,meiotic chromosome movement towards spindle pole,0.047509976
0,0.001587916,4,162,GO:0019359;GO:0019363;GO:0072525,pyridine-containing compound biosynthetic process,0.047509976
0,0.001593149,2,21,GO:2000811,negative regulation of anoikis,0.047509976
0,0.001615615,4,9,GO:0003365;GO:0003371;GO:0003379;GO:0003380;GO:0048383,establishment of cell polarity involved in ameboidal cell migration,0.047562256
0,0.001600299,2,252,GO:0006903,vesicle targeting,0.047562256
0,0.001615615,2,9,GO:1905340,regulation of protein localization to kinetochore,0.047562256
0,0.001615615,2,9,GO:1905446;GO:1905448,regulation of mitochondrial ATP synthesis coupled electron transport,0.047562256
0,0.001647468,4,141,GO:0032007,negative regulation of TOR signaling,0.048345024
0,0.00166864,3,546,GO:0016197,endosomal transport,0.048810376
0,0.001698697,2,71,GO:0000912;GO:0000915,assembly of actomyosin apparatus involved in cytokinesis,0.049263636
0,0.001705052,3,230,GO:0006900,vesicle budding from membrane,0.049263636
0,0.001698697,2,71,GO:0007277,pole cell development,0.049263636
0,0.001705589,3,360,GO:1903076;GO:1904375,regulation of protein localization to cell periphery,0.049263636
