delta.rank,pval,level,nseqs,term,name,p.adj,,,,,,,
0,0.003547509,4,2620,GO:0048878,chemical homeostasis,0.218683675,,,,,,,
0,0.003536817,4,1047,GO:0060249,anatomical structure homeostasis,0.218683675,,,,,,,
0,0.003578889,2,104,GO:0034308,primary alcohol metabolic process,0.219147308,,,,,,,
0,0.003876384,5,107,GO:0033866;GO:0034030;GO:0034033;GO:0071616;GO:0035384,ribonucleoside bisphosphate biosynthetic process,0.235791947,,,,,,,
0,0.003982111,2,32,GO:2000291,regulation of myoblast proliferation,0.240629513,,,,,,,
0,0.004172067,2,222,GO:0014823,response to activity,0.250460369,,,,,,,
0,0.00430653,3,224,GO:0006119;GO:0022904;GO:0042773;GO:0042775,respiratory electron transport chain,0.256853761,,,,,,,
0,0.004375479,3,364,GO:0007338;GO:0009566,fertilization,0.259282405,,,,,,,
0,0.004486908,6,34,GO:0071786,endoplasmic reticulum tubular network organization,0.264181107,,,,,,,
0,0.004749828,2,35,GO:0014889,muscle atrophy,0.274384735,,,,,,,
0,0.004749828,3,35,GO:0019682,glyceraldehyde-3-phosphate metabolic process,0.274384735,,,,,,,
0,0.004749828,7,35,GO:0051126,negative regulation of actin nucleation,0.274384735,,,,,,,
0,0.004857642,4,116,GO:0009311,oligosaccharide metabolic process,0.278858984,,,,,,,
0,0.005012601,2,376,GO:0062013,positive regulation of small molecule metabolic process,0.285967342,,,,,,,
0,0.005296499,2,37,GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,0.300298443,,,,,,,
0,0.005580167,2,38,GO:0048642,negative regulation of skeletal muscle tissue development,0.314440686,,,,,,,
0,0.005862144,2,2759,GO:0010243;GO:1901698,response to nitrogen compound,0.322886642,,,,,,,
0,0.005836289,3,928,GO:0014706;GO:0060537,muscle tissue development,0.322886642,,,,,,,
0,0.005870666,2,39,GO:0015949,nucleobase-containing small molecule interconversion,0.322886642,,,,,,,
0,0.005870666,4,39,GO:0051709,regulation of killing of cells of other organism,0.322886642,,,,,,,
0,0.006167956,2,40,GO:0006521,regulation of cellular amino acid metabolic process,0.331302216,,,,,,,
0,0.006109215,2,126,GO:0030810;GO:0045981;GO:1900373;GO:1900544;GO:1903580,positive regulation of nucleotide metabolic process,0.331302216,,,,,,,
0,0.006167956,2,40,GO:0046033,AMP metabolic process,0.331302216,,,,,,,
0,0.006167956,2,40,GO:0046174,polyol catabolic process,0.331302216,,,,,,,
0,0.006471996,3,41,GO:0042451;GO:0046129,purine nucleoside biosynthetic process,0.3456121,,,,,,,
0,0.006752905,2,2549,GO:0009725,response to hormone,0.356467985,,,,,,,
0,0.006731497,5,572,GO:0033500;GO:0042593,carbohydrate homeostasis,0.356467985,,,,,,,
0,0.006805157,2,1597,GO:0007568,aging,0.357173522,,,,,,,
0,0.007100158,2,43,GO:0016045;GO:0098543;GO:0098581,detection of external biotic stimulus,0.370539512,,,,,,,
0,0.0074242,3,44,GO:0043050,pharyngeal pumping,0.383097043,,,,,,,
0,0.0074242,2,44,GO:0045454,cell redox homeostasis,0.383097043,,,,,,,
0,0.007537509,2,415,GO:0006109,regulation of carbohydrate metabolic process,0.386771065,,,,,,,
0,0.008000342,4,139,GO:0006110;GO:0030811;GO:0051196,obsolete regulation of coenzyme metabolic process,0.408239655,,,,,,,
0,0.008091999,2,46,GO:0006688,glycosphingolipid biosynthetic process,0.410635438,,,,,,,
0,0.009694427,2,283,GO:0010565,regulation of cellular ketone metabolic process,0.489248972,,,,,,,
0,0.00987464,2,51,GO:0014866,skeletal myofibril assembly,0.492927017,,,,,,,
0,0.00987464,4,51,GO:0061067,negative regulation of dauer larval development,0.492927017,,,,,,,
0,0.010020362,2,151,GO:0060135,maternal process involved in female pregnancy,0.49749744,,,,,,,
0,0.010250246,2,52,GO:0051457,maintenance of protein location in nucleus,0.506174779,,,,,,,
0,0.010632119,2,53,GO:0009312,oligosaccharide biosynthetic process,0.511288018,,,,,,,
0,0.010632119,3,53,GO:0045662,negative regulation of myoblast differentiation,0.511288018,,,,,,,
0,0.010632119,4,53,GO:0051016;GO:0051693,actin filament capping,0.511288018,,,,,,,
0,0.010632119,2,53,GO:0055115;GO:0043053,entry into diapause,0.511288018,,,,,,,
0,0.010567469,3,154,GO:1901570,fatty acid derivative biosynthetic process,0.511288018,,,,,,,
0,0.011517245,2,159,GO:0042180,cellular ketone metabolic process,0.550968186,,,,,,,
0,0.01171292,2,160,GO:0048641,regulation of skeletal muscle tissue development,0.557425736,,,,,,,
0,0.012221504,2,57,GO:0070875,positive regulation of glycogen metabolic process,0.57863153,,,,,,,
0,0.013052793,2,59,GO:0033002,muscle cell proliferation,0.614820029,,,,,,,
0,0.014584451,5,5,GO:0005985,sucrose metabolic process,0.666349657,,,,,,,
0,0.014584451,2,5,GO:0009269,response to desiccation,0.666349657,,,,,,,
0,0.014584451,2,5,GO:0009441,glycolate metabolic process,0.666349657,,,,,,,
0,0.014584451,2,5,GO:0015743,malate transport,0.666349657,,,,,,,
0,0.014654614,2,174,GO:0021545,cranial nerve development,0.666349657,,,,,,,
0,0.014584451,3,5,GO:0050666,regulation of homocysteine metabolic process,0.666349657,,,,,,,
0,0.014584451,8,5,GO:1903093,regulation of protein K48-linked deubiquitination,0.666349657,,,,,,,
0,0.015059961,2,1097,GO:0006518;GO:0043604,amide biosynthetic process,0.681407598,,,,,,,
0,0.01558385,5,326,GO:0010675;GO:0010906,regulation of cellular carbohydrate metabolic process,0.701655216,,,,,,,
