delta.rank,pval,level,nseqs,term,name,p.adj,,,,,,,
0,0.862083002,2,666,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,1,,,,,,,
0,0.611615889,2,320,GO:0010771,negative regulation of cell morphogenesis involved in differentiation,1,,,,,,,
0,1,3,6,GO:0010796,regulation of multivesicular body size,1,,,,,,,
0,1,3,110,GO:0010799,regulation of peptidyl-threonine phosphorylation,1,,,,,,,
0,1,4,78,GO:0010800,positive regulation of peptidyl-threonine phosphorylation,1,,,,,,,
0,1,2,44,GO:0010801,negative regulation of peptidyl-threonine phosphorylation,1,,,,,,,
0,1,2,111,GO:0010803,regulation of tumor necrosis factor-mediated signaling pathway,1,,,,,,,
0,1,2,37,GO:0010804,negative regulation of tumor necrosis factor-mediated signaling pathway,1,,,,,,,
0,1,6,28,GO:0010807,regulation of synaptic vesicle priming,1,,,,,,,
0,1,2,7,GO:0010808,positive regulation of synaptic vesicle priming,1,,,,,,,
0,0.782296121,5,514,GO:0010810,regulation of cell-substrate adhesion,1,,,,,,,
0,1,2,313,GO:0010811,positive regulation of cell-substrate adhesion,1,,,,,,,
0,1,6,154,GO:0010812,negative regulation of cell-substrate adhesion,1,,,,,,,
0,1,2,6,GO:0010813,neuropeptide catabolic process,1,,,,,,,
0,1,2,11,GO:0010815,bradykinin catabolic process,1,,,,,,,
0,0.985790402,3,1410,GO:0010817,regulation of hormone levels,1,,,,,,,
0,1,2,18,GO:0010818,T cell chemotaxis,1,,,,,,,
0,1,7,16,GO:0010819;GO:0010820,regulation of T cell chemotaxis,1,,,,,,,
0,0.638374185,2,344,GO:0010821,regulation of mitochondrion organization,1,,,,,,,
0,0.432272384,7,192,GO:0010822,positive regulation of mitochondrion organization,1,,,,,,,
0,1,2,130,GO:0010823,negative regulation of mitochondrion organization,1,,,,,,,
0,1,2,93,GO:0010824,regulation of centrosome duplication,1,,,,,,,
0,1,2,8,GO:0010825,positive regulation of centrosome duplication,1,,,,,,,
0,1,4,48,GO:0010826;GO:0046606,negative regulation of centrosome cycle,1,,,,,,,
0,0.151514938,3,235,GO:0010827;GO:0046324,regulation of glucose transmembrane transport,1,,,,,,,
0,0.079524359,3,159,GO:0010828;GO:1903961;GO:0046326,positive regulation of anion transmembrane transport,1,,,,,,,
0,1,4,68,GO:0010829;GO:0046325,negative regulation of glucose transmembrane transport,1,,,,,,,
0,1,4,184,GO:0010830,regulation of myotube differentiation,1,,,,,,,
0,1,3,83,GO:0010831,positive regulation of myotube differentiation,1,,,,,,,
0,1,3,27,GO:0010832,negative regulation of myotube differentiation,1,,,,,,,
0,1,2,14,GO:0010835,regulation of protein ADP-ribosylation,1,,,,,,,
0,1,6,65,GO:0010837,regulation of keratinocyte proliferation,1,,,,,,,
0,1,2,22,GO:0010838,positive regulation of keratinocyte proliferation,1,,,,,,,
0,1,3,30,GO:0010839,negative regulation of keratinocyte proliferation,1,,,,,,,
0,1,3,92,GO:0010842,retina layer formation,1,,,,,,,
0,1,3,76,GO:0010847;GO:0031445;GO:0120261,regulation of chromatin assembly,1,,,,,,,
0,1,7,5,GO:0010848,regulation of chromatin disassembly,1,,,,,,,
0,0.062215133,3,138,GO:0010862;GO:0060393,regulation of pathway-restricted SMAD protein phosphorylation,1,,,,,,,
0,1,3,48,GO:0010866,regulation of triglyceride biosynthetic process,1,,,,,,,
0,1,2,29,GO:0010867,positive regulation of triglyceride biosynthetic process,1,,,,,,,
0,1,4,9,GO:0010868,negative regulation of triglyceride biosynthetic process,1,,,,,,,
0,1,-1,45,GO:0010869,obsolete regulation of receptor biosynthetic process,1,,,,,,,
0,1,-1,18,GO:0010870,obsolete positive regulation of receptor biosynthetic process,1,,,,,,,
0,1,-1,17,GO:0010871,obsolete negative regulation of receptor biosynthetic process,1,,,,,,,
0,1,5,15,GO:0010872,regulation of cholesterol esterification,1,,,,,,,
0,1,2,11,GO:0010873,positive regulation of cholesterol esterification,1,,,,,,,
0,1,3,50,GO:0010874,regulation of cholesterol efflux,1,,,,,,,
0,1,7,35,GO:0010875,positive regulation of cholesterol efflux,1,,,,,,,
0,0.903117688,3,783,GO:0010876;GO:0006869,lipid localization,1,,,,,,,
0,1,2,11,GO:0010877,lipid transport involved in lipid storage,1,,,,,,,
0,0.230426796,2,89,GO:0010880;GO:0010881,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,1,,,,,,,
0,1,5,96,GO:0010882,regulation of cardiac muscle contraction by calcium ion signaling,1,,,,,,,
0,0.548093011,2,269,GO:0010883,regulation of lipid storage,1,,,,,,,
0,1,2,109,GO:0010884,positive regulation of lipid storage,1,,,,,,,
0,1,4,29,GO:0010885,regulation of cholesterol storage,1,,,,,,,
0,1,5,15,GO:0010886,positive regulation of cholesterol storage,1,,,,,,,
0,1,2,14,GO:0010887,negative regulation of cholesterol storage,1,,,,,,,
0,0.219001368,2,84,GO:0010888,negative regulation of lipid storage,1,,,,,,,
0,0.118771363,3,43,GO:0010889,regulation of sequestering of triglyceride,1,,,,,,,
0,1,3,22,GO:0010890,positive regulation of sequestering of triglyceride,1,,,,,,,
0,0.040309056,2,14,GO:0010891,negative regulation of sequestering of triglyceride,1,,,,,,,
0,1,3,76,GO:0010893;GO:0045940,positive regulation of steroid metabolic process,1,,,,,,,
0,1,4,49,GO:0010894;GO:0045939,negative regulation of steroid metabolic process,1,,,,,,,
0,1,2,46,GO:0010896,regulation of triglyceride catabolic process,1,,,,,,,
0,1,7,20,GO:0010897,negative regulation of triglyceride catabolic process,1,,,,,,,
0,1,2,26,GO:0010898,positive regulation of triglyceride catabolic process,1,,,,,,,
0,1,4,7,GO:0010899,regulation of phosphatidylcholine catabolic process,1,,,,,,,
0,0.04572926,2,116,GO:0010907,positive regulation of glucose metabolic process,1,,,,,,,
0,1,5,6,GO:0010908;GO:0010909;GO:1902730,positive regulation of proteoglycan biosynthetic process,1,,,,,,,
0,1,2,21,GO:0010911;GO:0010912,regulation of isomerase activity,1,,,,,,,
0,1,2,24,GO:0010917;GO:0045837,negative regulation of membrane potential,1,,,,,,,
0,1,5,32,GO:0010918,positive regulation of mitochondrial membrane potential,1,,,,,,,
0,1,2,32,GO:0010919;GO:0060732,regulation of inositol phosphate biosynthetic process,1,,,,,,,
0,1,2,5,GO:0010920,negative regulation of inositol phosphate biosynthetic process,1,,,,,,,
0,1,2,458,GO:0010921;GO:0035303,regulation of dephosphorylation,1,,,,,,,
0,1,3,79,GO:0010922,positive regulation of phosphatase activity,1,,,,,,,
0,1,5,220,GO:0010923;GO:0035305,negative regulation of dephosphorylation,1,,,,,,,
0,1,2,30,GO:0010935,regulation of macrophage cytokine production,1,,,,,,,
0,1,2,17,GO:0010936,negative regulation of macrophage cytokine production,1,,,,,,,
0,1,5,5,GO:0010938;GO:0070462,cytoplasmic microtubule depolymerization,1,,,,,,,
0,1,2,135,GO:0010939,regulation of necrotic cell death,1,,,,,,,
0,1,3,96,GO:0010940,positive regulation of necrotic cell death,1,,,,,,,
0,0.686026982,2,1951,GO:0010942;GO:0043065;GO:0043068,positive regulation of cell death,1,,,,,,,
0,1,5,18,GO:0010944,negative regulation of transcription by competitive promoter binding,1,,,,,,,
0,0.585032228,2,666,GO:0010948,negative regulation of cell cycle process,1,,,,,,,
0,1,2,424,GO:0010950;GO:0010952,positive regulation of peptidase activity,1,,,,,,,
0,0.18611144,2,70,GO:0010954;GO:1903319,positive regulation of protein maturation,1,,,,,,,
0,1,3,100,GO:0010955;GO:1903318,negative regulation of protein maturation,1,,,,,,,
0,1,6,10,GO:0010956;GO:0010957;GO:0046137,negative regulation of vitamin D biosynthetic process,1,,,,,,,
0,1,8,32,GO:0010958;GO:1903789,regulation of amino acid transmembrane transport,1,,,,,,,
0,0.939095085,2,936,GO:0010959,regulation of metal ion transport,1,,,,,,,
0,1,2,48,GO:0010960,magnesium ion homeostasis,1,,,,,,,
0,1,2,7,GO:0010961,cellular magnesium ion homeostasis,1,,,,,,,
0,1,3,5,GO:0010963,regulation of L-arginine import,1,,,,,,,
0,0.381432852,3,163,GO:0010965;GO:1905818;GO:0030071;GO:1902099,regulation of chromosome separation,1,,,,,,,
0,1,2,17,GO:0010966,regulation of phosphate transport,1,,,,,,,
0,1,2,27,GO:0010968,regulation of microtubule nucleation,1,,,,,,,
0,0.781643214,3,513,GO:0010970;GO:0030705;GO:0099111,cytoskeleton-dependent intracellular transport,1,,,,,,,
0,1,2,59,GO:0010971;GO:1902751,positive regulation of cell cycle G2/M phase transition,1,,,,,,,
0,0.312031087,2,127,GO:0010972;GO:1902750,negative regulation of cell cycle G2/M phase transition,1,,,,,,,
0,0.980777374,2,2995,GO:0010975;GO:0120035;GO:0031344;GO:0045664,regulation of neuron differentiation,1,,,,,,,
0,0.985206487,2,1397,GO:0010976;GO:0031346,positive regulation of cell projection organization,1,,,,,,,
0,0.266655326,2,611,GO:0010977;GO:0031345,negative regulation of cell projection organization,1,,,,,,,
0,1,4,9,GO:0010979;GO:0010980,regulation of vitamin D 24-hydroxylase activity,1,,,,,,,
0,1,3,33,GO:0010984,regulation of lipoprotein particle clearance,1,,,,,,,
0,1,2,16,GO:0010985;GO:0010989,negative regulation of lipoprotein particle clearance,1,,,,,,,
0,1,2,8,GO:0010986,positive regulation of lipoprotein particle clearance,1,,,,,,,
0,1,5,23,GO:0010988,regulation of low-density lipoprotein particle clearance,1,,,,,,,
0,1,2,12,GO:0010990;GO:0010991,regulation of SMAD protein complex assembly,1,,,,,,,
0,1,4,12,GO:0010992,ubiquitin recycling,1,,,,,,,
0,1,3,84,GO:0010996,response to auditory stimulus,1,,,,,,,
0,1,2,6,GO:0010998,regulation of translational initiation by eIF2 alpha phosphorylation,1,,,,,,,
0,1,5,41,GO:0012502;GO:0035072;GO:0035078;GO:0035081,ecdysone-mediated induction of salivary gland cell autophagic cell death,1,,,,,,,
0,1,2,62,GO:0014002,astrocyte development,1,,,,,,,
0,1,2,105,GO:0014003,oligodendrocyte development,1,,,,,,,
0,1,2,13,GO:0014004,microglia differentiation,1,,,,,,,
0,1,3,9,GO:0014005,microglia development,1,,,,,,,
0,1,2,38,GO:0014009,glial cell proliferation,1,,,,,,,
0,1,7,23,GO:0014012,peripheral nervous system axon regeneration,1,,,,,,,
0,0.604626423,4,314,GO:0014013,regulation of gliogenesis,1,,,,,,,
0,1,3,132,GO:0014014,negative regulation of gliogenesis,1,,,,,,,
0,0.401225299,2,174,GO:0014015,positive regulation of gliogenesis,1,,,,,,,
0,1,3,128,GO:0014016;GO:0014017,neuroblast differentiation,1,,,,,,,
0,1,4,30,GO:0014018,neuroblast fate specification,1,,,,,,,
0,1,4,36,GO:0014019,neuroblast development,1,,,,,,,
0,1,2,9,GO:0014022;GO:0022007,neural plate elongation,1,,,,,,,
0,1,2,16,GO:0014028,notochord formation,1,,,,,,,
0,1,5,43,GO:0014029,neural crest formation,1,,,,,,,
0,0.59631494,4,307,GO:0014031;GO:0014032;GO:0048864;GO:0014033,stem cell development,1,,,,,,,
0,1,4,24,GO:0014034,neural crest cell fate commitment,1,,,,,,,
0,1,2,11,GO:0014036,neural crest cell fate specification,1,,,,,,,
0,1,5,84,GO:0014037,Schwann cell differentiation,1,,,,,,,
0,1,2,6,GO:0014038,regulation of Schwann cell differentiation,1,,,,,,,
0,1,2,82,GO:0014041,regulation of neuron maturation,1,,,,,,,
0,1,5,41,GO:0014042,positive regulation of neuron maturation,1,,,,,,,
0,1,7,22,GO:0014043,negative regulation of neuron maturation,1,,,,,,,
0,1,5,65,GO:0014044;GO:0022011;GO:0032292,Schwann cell development,1,,,,,,,
0,1,3,15,GO:0014045,establishment of endothelial blood-brain barrier,1,,,,,,,
0,1,2,70,GO:0014048,regulation of glutamate secretion,1,,,,,,,
0,1,3,38,GO:0014049,positive regulation of glutamate secretion,1,,,,,,,
0,1,3,18,GO:0014050,negative regulation of glutamate secretion,1,,,,,,,
0,1,2,30,GO:0014051,gamma-aminobutyric acid secretion,1,,,,,,,
0,1,6,31,GO:0014052,regulation of gamma-aminobutyric acid secretion,1,,,,,,,
0,1,2,10,GO:0014053,negative regulation of gamma-aminobutyric acid secretion,1,,,,,,,
0,1,2,19,GO:0014054,positive regulation of gamma-aminobutyric acid secretion,1,,,,,,,
0,0.239448163,3,93,GO:0014059,regulation of dopamine secretion,1,,,,,,,
0,1,2,30,GO:0014060;GO:0032811,regulation of epinephrine secretion,1,,,,,,,
0,1,2,55,GO:0014061,regulation of norepinephrine secretion,1,,,,,,,
0,1,3,26,GO:0014062,regulation of serotonin secretion,1,,,,,,,
0,1,2,14,GO:0014063,negative regulation of serotonin secretion,1,,,,,,,
0,1,2,6,GO:0014064,positive regulation of serotonin secretion,1,,,,,,,
0,0.25278475,5,99,GO:0014065,phosphatidylinositol 3-kinase signaling,1,,,,,,,
0,0.577919236,2,292,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,1,,,,,,,
0,1,3,66,GO:0014067,negative regulation of phosphatidylinositol 3-kinase signaling,1,,,,,,,
0,1,4,186,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,1,,,,,,,
0,0.109224484,2,2483,GO:0014070,response to organic cyclic compound,1,,,,,,,
0,0.295593846,5,119,GO:0014072;GO:0043278,response to isoquinoline alkaloid,1,,,,,,,
0,1,5,152,GO:0014075,response to amine,1,,,,,,,
0,1,5,6,GO:0014717,regulation of satellite cell activation involved in skeletal muscle regeneration,1,,,,,,,
0,1,2,5,GO:0014719,skeletal muscle satellite cell activation,1,,,,,,,
0,1,6,13,GO:0014722;GO:0014809;GO:0021629,regulation of skeletal muscle contraction by calcium ion signaling,1,,,,,,,
0,1,5,14,GO:0014724,regulation of twitch skeletal muscle contraction,1,,,,,,,
0,1,6,10,GO:0014728;GO:0014862,regulation of the force of skeletal muscle contraction,1,,,,,,,
0,1,2,45,GO:0014733,regulation of skeletal muscle adaptation,1,,,,,,,
0,1,2,5,GO:0014734,skeletal muscle hypertrophy,1,,,,,,,
0,1,2,6,GO:0014735;GO:0014737,regulation of muscle atrophy,1,,,,,,,
0,1,2,11,GO:0014744,positive regulation of muscle adaptation,1,,,,,,,
0,1,2,23,GO:0014745,negative regulation of muscle adaptation,1,,,,,,,
0,1,2,6,GO:0014805,smooth muscle adaptation,1,,,,,,,
0,1,4,31,GO:0014807,regulation of somitogenesis,1,,,,,,,
0,1,4,20,GO:0014808;GO:1903514,release of sequestered calcium ion into cytosol by endoplasmic reticulum,1,,,,,,,
0,0.159313101,4,59,GO:0014812,muscle cell migration,1,,,,,,,
0,1,2,8,GO:0014816,skeletal muscle satellite cell differentiation,1,,,,,,,
0,1,4,36,GO:0014819,regulation of skeletal muscle contraction,1,,,,,,,
0,1,2,21,GO:0014820;GO:0014824,tonic smooth muscle contraction,1,,,,,,,
0,1,2,41,GO:0014821,phasic smooth muscle contraction,1,,,,,,,
0,1,2,8,GO:0014826,vein smooth muscle contraction,1,,,,,,,
0,1,2,7,GO:0014827,intestine smooth muscle contraction,1,,,,,,,
0,1,3,31,GO:0014829,vascular associated smooth muscle contraction,1,,,,,,,
0,1,3,17,GO:0014831,gastro-intestinal system smooth muscle contraction,1,,,,,,,
0,1,2,37,GO:0014832;GO:0014848,urinary tract smooth muscle contraction,1,,,,,,,
0,1,2,8,GO:0014834,skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,1,,,,,,,
0,1,5,7,GO:0014835,myoblast differentiation involved in skeletal muscle regeneration,1,,,,,,,
0,1,4,8,GO:0014846,esophagus smooth muscle contraction,1,,,,,,,
0,1,2,48,GO:0014854,response to inactivity,1,,,,,,,
0,1,3,43,GO:0014855;GO:0060038,striated muscle cell proliferation,1,,,,,,,
0,1,2,19,GO:0014858,positive regulation of skeletal muscle cell proliferation,1,,,,,,,
0,1,3,35,GO:0014870;GO:0014877;GO:0014894,response to muscle inactivity,1,,,,,,,
0,1,3,6,GO:0014873,response to muscle activity involved in regulation of muscle adaptation,1,,,,,,,
0,1,2,41,GO:0014874,response to stimulus involved in regulation of muscle adaptation,1,,,,,,,
0,1,3,13,GO:0014878,response to electrical stimulus involved in regulation of muscle adaptation,1,,,,,,,
0,1,2,12,GO:0014881,regulation of myofibril size,1,,,,,,,
0,1,3,30,GO:0014883,transition between fast and slow fiber,1,,,,,,,
0,0.263721952,2,104,GO:0014904;GO:0048741,myotube cell development,1,,,,,,,
0,1,7,6,GO:0014908,myotube differentiation involved in skeletal muscle regeneration,1,,,,,,,
0,1,5,26,GO:0014909,smooth muscle cell migration,1,,,,,,,
0,0.482059066,6,223,GO:0014910,regulation of smooth muscle cell migration,1,,,,,,,
0,1,2,157,GO:0014911,positive regulation of smooth muscle cell migration,1,,,,,,,
0,0.156834113,2,58,GO:0014912,negative regulation of smooth muscle cell migration,1,,,,,,,
0,1,4,6,GO:0014916,regulation of lung blood pressure,1,,,,,,,
0,1,5,93,GO:0015012;GO:0030201,heparan sulfate proteoglycan metabolic process,1,,,,,,,
0,0.921097136,4,2783,GO:0015031;GO:0015833;GO:0045184;GO:0042886,establishment of protein localization,1,,,,,,,
0,1,5,11,GO:0015074,DNA integration,1,,,,,,,
0,1,4,50,GO:0015669,gas transport,1,,,,,,,
0,1,3,15,GO:0015670,carbon dioxide transport,1,,,,,,,
0,1,5,35,GO:0015671,oxygen transport,1,,,,,,,
0,0.955914263,3,1042,GO:0015672,monovalent inorganic cation transport,1,,,,,,,
0,1,6,19,GO:0015677,copper ion import,1,,,,,,,
0,1,3,7,GO:0015679,plasma membrane copper ion transport,1,,,,,,,
0,1,5,12,GO:0015691;GO:0070574;GO:0071585,cadmium ion transmembrane transport,1,,,,,,,
0,1,2,33,GO:0015693,magnesium ion transport,1,,,,,,,
0,1,2,106,GO:0015695,organic cation transport,1,,,,,,,
0,0.379601824,2,162,GO:0015696,ammonium transport,1,,,,,,,
0,1,5,21,GO:0015697,quaternary ammonium group transport,1,,,,,,,
0,0.62634386,3,333,GO:0015698,inorganic anion transport,1,,,,,,,
0,1,2,69,GO:0015701,bicarbonate transport,1,,,,,,,
0,1,2,10,GO:0015705,iodide transport,1,,,,,,,
0,0.754746341,4,916,GO:0015711,organic anion transport,1,,,,,,,
0,1,3,12,GO:0015712;GO:0015760,hexose phosphate transport,1,,,,,,,
0,0.747922072,9,465,GO:0015718,monocarboxylic acid transport,1,,,,,,,
0,1,2,54,GO:0015721,bile acid and bile salt transport,1,,,,,,,
0,1,2,14,GO:0015722,canalicular bile acid transport,1,,,,,,,
0,1,2,12,GO:0015724,formate transport,1,,,,,,,
0,1,6,17,GO:0015727;GO:0035873,lactate transmembrane transport,1,,,,,,,
0,1,2,14,GO:0015732,prostaglandin transport,1,,,,,,,
0,1,3,5,GO:0015734;GO:0042918,taurine transport,1,,,,,,,
0,0.105710546,4,38,GO:0015740,C4-dicarboxylate transport,1,,,,,,,
0,0.034650408,8,12,GO:0015744;GO:0071422,succinate transmembrane transport,1,,,,,,,
0,1,2,9,GO:0015747,urate transport,1,,,,,,,
0,1,2,220,GO:0015748,organophosphate ester transport,1,,,,,,,
0,1,7,6,GO:0015755,fructose transmembrane transport,1,,,,,,,
0,1,4,21,GO:0015780;GO:0090481,nucleotide-sugar transmembrane transport,1,,,,,,,
0,1,2,6,GO:0015786;GO:0015789,UDP-glucose transmembrane transport,1,,,,,,,
0,1,2,6,GO:0015790,UDP-xylose transmembrane transport,1,,,,,,,
0,1,2,27,GO:0015791,polyol transport,1,,,,,,,
0,1,2,11,GO:0015793,glycerol transport,1,,,,,,,
0,1,5,5,GO:0015797;GO:0090088;GO:0090089;GO:2000878;GO:2000880;GO:2001148,regulation of dipeptide transport,1,,,,,,,
0,1,2,9,GO:0015798,myo-inositol transport,1,,,,,,,
0,1,6,121,GO:0015800,acidic amino acid transport,1,,,,,,,
0,1,2,21,GO:0015801,aromatic amino acid transport,1,,,,,,,
0,1,2,29,GO:0015802,basic amino acid transport,1,,,,,,,
0,1,2,17,GO:0015803;GO:0015820,branched-chain amino acid transport,1,,,,,,,
0,1,2,92,GO:0015804,neutral amino acid transport,1,,,,,,,
0,1,3,157,GO:0015807;GO:1902475,L-amino acid transport,1,,,,,,,
0,1,3,13,GO:0015808,L-alanine transport,1,,,,,,,
0,1,2,18,GO:0015809;GO:1903826;GO:1990822,basic amino acid transmembrane transport,1,,,,,,,
0,1,2,10,GO:0015810,aspartate transmembrane transport,1,,,,,,,
0,1,3,10,GO:0015811,L-cystine transport,1,,,,,,,
0,1,6,48,GO:0015812,gamma-aminobutyric acid transport,1,,,,,,,
0,1,3,54,GO:0015813,L-glutamate transmembrane transport,1,,,,,,,
0,1,2,21,GO:0015816,glycine transport,1,,,,,,,
0,1,2,6,GO:0015817,histidine transport,1,,,,,,,
0,1,3,6,GO:0015819,lysine transport,1,,,,,,,
0,1,3,13,GO:0015822;GO:1902022;GO:1903352;GO:1903401,L-lysine transmembrane transport,1,,,,,,,
0,1,2,15,GO:0015824,proline transport,1,,,,,,,
0,1,4,6,GO:0015827,tryptophan transport,1,,,,,,,
0,1,2,20,GO:0015837,amine transport,1,,,,,,,
0,1,2,13,GO:0015838,amino-acid betaine transport,1,,,,,,,
0,1,2,10,GO:0015840,urea transport,1,,,,,,,
0,1,4,7,GO:0015842,aminergic neurotransmitter loading into synaptic vesicle,1,,,,,,,
0,0.159313101,4,59,GO:0015844,monoamine transport,1,,,,,,,
0,0.556358403,2,632,GO:0015849;GO:0046942,organic acid transport,1,,,,,,,
0,0.579170959,2,293,GO:0015850,organic hydroxy compound transport,1,,,,,,,
0,1,2,15,GO:0015853,adenine transport,1,,,,,,,
0,1,2,8,GO:0015854,guanine transport,1,,,,,,,
0,1,5,10,GO:0015855,pyrimidine nucleobase transport,1,,,,,,,
0,1,2,19,GO:0015858,nucleoside transport,1,,,,,,,
0,1,7,12,GO:0015862;GO:0015864;GO:1901642,nucleoside transmembrane transport,1,,,,,,,
0,1,2,35,GO:0015865;GO:0015868;GO:0051503,purine nucleotide transport,1,,,,,,,
0,1,2,24,GO:0015866;GO:0015867,ATP transport,1,,,,,,,
0,1,3,30,GO:0015871,choline transport,1,,,,,,,
0,0.073579549,3,26,GO:0015872,dopamine transport,1,,,,,,,
0,1,3,5,GO:0015874,norepinephrine transport,1,,,,,,,
0,1,3,9,GO:0015879,carnitine transport,1,,,,,,,
0,1,2,6,GO:0015880;GO:0035349;GO:0080121,coenzyme A transport,1,,,,,,,
0,1,3,10,GO:0015884;GO:0098838,folic acid transport,1,,,,,,,
0,1,2,31,GO:0015886;GO:1901678,iron coordination entity transport,1,,,,,,,
0,1,4,10,GO:0015888,thiamine transport,1,,,,,,,
0,1,2,12,GO:0015889,cobalamin transport,1,,,,,,,
0,0.320797684,4,393,GO:0015893,drug transport,1,,,,,,,
0,0.567772205,2,284,GO:0015908,fatty acid transport,1,,,,,,,
0,0.309997331,6,126,GO:0015909,long-chain fatty acid transport,1,,,,,,,
0,1,4,7,GO:0015910,long-chain fatty acid import into peroxisome,1,,,,,,,
0,1,6,10,GO:0015911,long-chain fatty acid import across plasma membrane,1,,,,,,,
0,1,2,160,GO:0015914,phospholipid transport,1,,,,,,,
0,1,3,8,GO:0015917,aminophospholipid transport,1,,,,,,,
0,1,5,124,GO:0015918;GO:0030301,sterol transport,1,,,,,,,
0,1,2,29,GO:0015919,peroxisomal membrane transport,1,,,,,,,
0,1,2,17,GO:0015936,coenzyme A metabolic process,1,,,,,,,
0,1,2,11,GO:0015937,coenzyme A biosynthetic process,1,,,,,,,
0,1,3,13,GO:0015959,diadenosine polyphosphate metabolic process,1,,,,,,,
0,1,5,10,GO:0015961;GO:0071543;GO:1901906;GO:1901907;GO:1901908;GO:1901909;GO:1901910,diadenosine polyphosphate catabolic process,1,,,,,,,
0,1,3,508,GO:0016032,viral process,1,,,,,,,
0,1,2,21,GO:0016037,light absorption,1,,,,,,,
0,1,2,11,GO:0016038;GO:0018298,absorption of visible light,1,,,,,,,
0,1,4,10,GO:0016039;GO:0030265,phospholipase C-activating rhodopsin mediated signaling pathway,1,,,,,,,
0,1,2,655,GO:0016049;GO:0048588,cell growth,1,,,,,,,
0,0.707439551,2,835,GO:0016050,vesicle organization,1,,,,,,,
0,0.038901216,3,434,GO:0016054;GO:0046395,organic acid catabolic process,1,,,,,,,
0,0.819766858,4,577,GO:0016055;GO:0198738,cell-cell signaling by wnt,1,,,,,,,
0,1,2,70,GO:0016056,rhodopsin mediated signaling pathway,1,,,,,,,
0,1,4,40,GO:0016057,regulation of membrane potential in photoreceptor cell,1,,,,,,,
0,1,2,41,GO:0016059,deactivation of rhodopsin mediated signaling,1,,,,,,,
0,1,2,10,GO:0016060,metarhodopsin inactivation,1,,,,,,,
0,1,3,17,GO:0016062;GO:0036367,adaptation of rhodopsin mediated signaling,1,,,,,,,
0,1,2,23,GO:0016063;GO:0046154,rhodopsin metabolic process,1,,,,,,,
0,1,2,97,GO:0016064;GO:0019724,B cell mediated immunity,1,,,,,,,
0,0.979023849,2,1284,GO:0016071,mRNA metabolic process,1,,,,,,,
0,0.364759618,3,154,GO:0016073;GO:0009301;GO:0042795,snRNA metabolic process,1,,,,,,,
0,1,3,27,GO:0016074,sno(s)RNA metabolic process,1,,,,,,,
0,1,4,24,GO:0016075,rRNA catabolic process,1,,,,,,,
0,1,4,11,GO:0016078,tRNA catabolic process,1,,,,,,,
0,1,3,61,GO:0016080,synaptic vesicle targeting,1,,,,,,,
0,1,2,93,GO:0016081,synaptic vesicle docking,1,,,,,,,
0,1,3,80,GO:0016082,synaptic vesicle priming,1,,,,,,,
0,1,4,14,GO:0016093,polyprenol metabolic process,1,,,,,,,
0,1,2,6,GO:0016094,polyprenol biosynthetic process,1,,,,,,,
0,1,3,165,GO:0016101;GO:0001523,diterpenoid metabolic process,1,,,,,,,
0,1,2,24,GO:0016102,diterpenoid biosynthetic process,1,,,,,,,
0,1,4,7,GO:0016107,sesquiterpenoid catabolic process,1,,,,,,,
0,1,5,10,GO:0016108;GO:0016116,tetraterpenoid metabolic process,1,,,,,,,
0,1,4,34,GO:0016114,terpenoid biosynthetic process,1,,,,,,,
0,1,2,15,GO:0016115,terpenoid catabolic process,1,,,,,,,
0,1,5,9,GO:0016119;GO:0042214;GO:0035238,terpene metabolic process,1,,,,,,,
0,1,8,7,GO:0016122,xanthophyll metabolic process,1,,,,,,,
0,1,5,82,GO:0016126;GO:1902653,sterol biosynthetic process,1,,,,,,,
0,1,3,32,GO:0016137,glycoside metabolic process,1,,,,,,,
0,1,2,14,GO:0016139,glycoside catabolic process,1,,,,,,,
0,1,2,40,GO:0016180;GO:0034472,snRNA processing,1,,,,,,,
0,1,7,28,GO:0016185;GO:0070142,synaptic vesicle budding,1,,,,,,,
0,0.103075536,5,37,GO:0016188,synaptic vesicle maturation,1,,,,,,,
0,1,3,546,GO:0016197,endosomal transport,1,,,,,,,
0,1,3,127,GO:0016198;GO:0016199,axon choice point recognition,1,,,,,,,
0,1,2,6,GO:0016200,synaptic target attraction,1,,,,,,,
0,1,2,34,GO:0016201,synaptic target inhibition,1,,,,,,,
0,0.044941617,2,455,GO:0016202;GO:0048634;GO:1901861,regulation of muscle organ development,1,,,,,,,
0,1,2,211,GO:0016203,muscle attachment,1,,,,,,,
0,1,2,49,GO:0016204,determination of muscle attachment site,1,,,,,,,
0,1,2,43,GO:0016226;GO:0031163,iron-sulfur cluster assembly,1,,,,,,,
0,1,4,23,GO:0016233,telomere capping,1,,,,,,,
0,0.629663507,4,336,GO:0016236,macroautophagy,1,,,,,,,
0,0.395890242,2,171,GO:0016239,positive regulation of macroautophagy,1,,,,,,,
0,1,2,7,GO:0016240,autophagosome membrane docking,1,,,,,,,
0,0.11955548,2,410,GO:0016241,regulation of macroautophagy,1,,,,,,,
0,1,2,94,GO:0016242,negative regulation of macroautophagy,1,,,,,,,
